transcript_id	gene_id	gene_name
gnl|WGS:JAKSZP|L0F63_000001-T1_mrna	L0F63_000001	L0F63_000001
gnl|WGS:JAKSZP|L0F63_000002-T1_mrna	L0F63_000002	L0F63_000002
unassigned_transcript_1	L0F63_000003	L0F63_000003
unassigned_transcript_2	L0F63_000004	L0F63_000004
unassigned_transcript_3	L0F63_000005	L0F63_000005
unassigned_transcript_4	L0F63_000043	L0F63_000043
gnl|WGS:JAKSZP|L0F63_000079-T1_mrna	L0F63_000079	L0F63_000079
unassigned_transcript_5	L0F63_000080	L0F63_000080
gnl|WGS:JAKSZP|L0F63_000081-T1_mrna	L0F63_000081	L0F63_000081
gnl|WGS:JAKSZP|L0F63_000082-T1_mrna	L0F63_000082	L0F63_000082
gnl|WGS:JAKSZP|L0F63_000113-T1_mrna	L0F63_000113	L0F63_000113
gnl|WGS:JAKSZP|L0F63_000114-T1_mrna	L0F63_000114	L0F63_000114
gnl|WGS:JAKSZP|L0F63_000144-T1_mrna	L0F63_000144	L0F63_000144
gnl|WGS:JAKSZP|L0F63_000145-T1_mrna	L0F63_000145	L0F63_000145
gnl|WGS:JAKSZP|L0F63_000176-T1_mrna	L0F63_000176	L0F63_000176
gnl|WGS:JAKSZP|L0F63_000205-T1_mrna	L0F63_000205	L0F63_000205
gnl|WGS:JAKSZP|L0F63_000206-T1_mrna	L0F63_000206	L0F63_000206
unassigned_transcript_6	L0F63_000265	L0F63_000265
gnl|WGS:JAKSZP|L0F63_000294-T1_mrna	L0F63_000294	L0F63_000294
gnl|WGS:JAKSZP|L0F63_000295-T1_mrna	L0F63_000295	L0F63_000295
gnl|WGS:JAKSZP|L0F63_000296-T1_mrna	L0F63_000296	L0F63_000296
unassigned_transcript_7	L0F63_000320	L0F63_000320
unassigned_transcript_8	L0F63_000378	L0F63_000378
gnl|WGS:JAKSZP|L0F63_000402-T1_mrna	L0F63_000402	L0F63_000402
gnl|WGS:JAKSZP|L0F63_000427-T1_mrna	L0F63_000427	L0F63_000427
gnl|WGS:JAKSZP|L0F63_000428-T1_mrna	L0F63_000428	L0F63_000428
unassigned_transcript_9	L0F63_000443	L0F63_000443
gnl|WGS:JAKSZP|L0F63_000469-T1_mrna	L0F63_000469	L0F63_000469
gnl|WGS:JAKSZP|L0F63_000497-T1_mrna	L0F63_000497	L0F63_000497
unassigned_transcript_10	L0F63_000520	L0F63_000520
gnl|WGS:JAKSZP|L0F63_000545-T1_mrna	L0F63_000545	L0F63_000545
gnl|WGS:JAKSZP|L0F63_000565-T1_mrna	L0F63_000565	L0F63_000565
unassigned_transcript_11	L0F63_000566	L0F63_000566
unassigned_transcript_12	L0F63_000567	L0F63_000567
unassigned_transcript_13	L0F63_000568	L0F63_000568
gnl|WGS:JAKSZP|L0F63_000606-T1_mrna	L0F63_000606	L0F63_000606
gnl|WGS:JAKSZP|L0F63_000607-T1_mrna	L0F63_000607	L0F63_000607
unassigned_transcript_14	L0F63_000608	L0F63_000608
unassigned_transcript_15	L0F63_000632	L0F63_000632
gnl|WGS:JAKSZP|L0F63_000633-T1_mrna	L0F63_000633	L0F63_000633
gnl|WGS:JAKSZP|L0F63_000658-T1_mrna	L0F63_000658	L0F63_000658
unassigned_transcript_16	L0F63_000659	L0F63_000659
gnl|WGS:JAKSZP|L0F63_000690-T1_mrna	L0F63_000690	L0F63_000690
gnl|WGS:JAKSZP|L0F63_000713-T1_mrna	L0F63_000713	L0F63_000713
unassigned_transcript_17	L0F63_000732	L0F63_000732
gnl|WGS:JAKSZP|L0F63_000733-T1_mrna	L0F63_000733	L0F63_000733
unassigned_transcript_18	L0F63_000741	L0F63_000741
gnl|WGS:JAKSZP|L0F63_000742-T1_mrna	L0F63_000742	L0F63_000742
gnl|WGS:JAKSZP|L0F63_000788-T1_mrna	L0F63_000788	L0F63_000788
