tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
gnl|WGS:JAKSZP|L0F63_000001-T1_mrna	L0F63_000001	150	339	12	287	48	74
gnl|WGS:JAKSZP|L0F63_000002-T1_mrna	L0F63_000002	135	742	14	639	44	77
unassigned_transcript_1	L0F63_000003	0	0	0	0	0	0
unassigned_transcript_2	L0F63_000004	0	0	0	0	0	0
unassigned_transcript_3	L0F63_000005	0	0	0	0	0	0
unassigned_transcript_4	L0F63_000043	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000079-T1_mrna	L0F63_000079	391	190	189	308	243	408
unassigned_transcript_5	L0F63_000080	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000081-T1_mrna	L0F63_000081	1641	8217	513	2991	676	1503
gnl|WGS:JAKSZP|L0F63_000082-T1_mrna	L0F63_000082	7	90	0	12	6	2
gnl|WGS:JAKSZP|L0F63_000113-T1_mrna	L0F63_000113	1123	3054	323	2281	518	1042
gnl|WGS:JAKSZP|L0F63_000114-T1_mrna	L0F63_000114	1308	1071	891	913	878	2085
gnl|WGS:JAKSZP|L0F63_000144-T1_mrna	L0F63_000144	0	14	1	0	0	16
gnl|WGS:JAKSZP|L0F63_000145-T1_mrna	L0F63_000145	11	33	3	42	1	0
gnl|WGS:JAKSZP|L0F63_000176-T1_mrna	L0F63_000176	392	1414	68	1520	129	166
gnl|WGS:JAKSZP|L0F63_000205-T1_mrna	L0F63_000205	120	159	34	161	24	80
gnl|WGS:JAKSZP|L0F63_000206-T1_mrna	L0F63_000206	776	1722	290	4385.227	613	564.575
unassigned_transcript_6	L0F63_000265	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000294-T1_mrna	L0F63_000294	1399	1557	97	9563	123	735
gnl|WGS:JAKSZP|L0F63_000295-T1_mrna	L0F63_000295	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000296-T1_mrna	L0F63_000296	0	0	0	1	0	0
unassigned_transcript_7	L0F63_000320	0	0	0	0	0	0
unassigned_transcript_8	L0F63_000378	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000402-T1_mrna	L0F63_000402	471	934	151	936	332	448
gnl|WGS:JAKSZP|L0F63_000427-T1_mrna	L0F63_000427	158	0	403	1	34	257
gnl|WGS:JAKSZP|L0F63_000428-T1_mrna	L0F63_000428	4069	7550	883	14461	1730	2449
unassigned_transcript_9	L0F63_000443	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000469-T1_mrna	L0F63_000469	354	613	195	653	344	369
gnl|WGS:JAKSZP|L0F63_000497-T1_mrna	L0F63_000497	686	1251	235	1346	356	629
unassigned_transcript_10	L0F63_000520	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000545-T1_mrna	L0F63_000545	174	254	111	268	110	197
gnl|WGS:JAKSZP|L0F63_000565-T1_mrna	L0F63_000565	363	872	161	1150	254	540
unassigned_transcript_11	L0F63_000566	0	0	0	0	0	0
unassigned_transcript_12	L0F63_000567	0	0	0	0	0	0
unassigned_transcript_13	L0F63_000568	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000606-T1_mrna	L0F63_000606	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000607-T1_mrna	L0F63_000607	2004	955	789	871	2316	2160
unassigned_transcript_14	L0F63_000608	0	0	0	0	0	0
unassigned_transcript_15	L0F63_000632	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000633-T1_mrna	L0F63_000633	518	1501	190	1390	281	444
gnl|WGS:JAKSZP|L0F63_000658-T1_mrna	L0F63_000658	1506	3998	203	4634	743	1038
unassigned_transcript_16	L0F63_000659	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000690-T1_mrna	L0F63_000690	919	2401	283	2484	424	737
gnl|WGS:JAKSZP|L0F63_000713-T1_mrna	L0F63_000713	15.02	4	11.026	19	27.103	16.035
unassigned_transcript_17	L0F63_000732	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000733-T1_mrna	L0F63_000733	135	390	9	459	34	35
unassigned_transcript_18	L0F63_000741	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000742-T1_mrna	L0F63_000742	99	153	41	88	86	96
gnl|WGS:JAKSZP|L0F63_000788-T1_mrna	L0F63_000788	0	3	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000789-T1_mrna	L0F63_000789	175	596	112	669	186	133
unassigned_transcript_19	L0F63_000790	0	0	0	0	0	0
unassigned_transcript_20	L0F63_000791	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000792-T1_mrna	L0F63_000792	0	4	3	10	0	1
gnl|WGS:JAKSZP|L0F63_000809-T1_mrna	L0F63_000809	331	333	135	365	142	356
gnl|WGS:JAKSZP|L0F63_000810-T1_mrna	L0F63_000810	349	689	145	582	193	351
gnl|WGS:JAKSZP|L0F63_000811-T1_mrna	L0F63_000811	306	851	120	1266	264	306
gnl|WGS:JAKSZP|L0F63_000832-T1_mrna	L0F63_000832	3517	5854	726	5549	2283	2836
gnl|WGS:JAKSZP|L0F63_000852-T1_mrna	L0F63_000852	2782	3817	1249	4575	1065	1930
gnl|WGS:JAKSZP|L0F63_000853-T1_mrna	L0F63_000853	1048	2727	199	2635	362	884
gnl|WGS:JAKSZP|L0F63_000874-T1_mrna	L0F63_000874	22	45	21	43	40	52
unassigned_transcript_21	L0F63_000911	0	0	0	0	0	0
unassigned_transcript_22	L0F63_000932	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000933-T1_mrna	L0F63_000933	1524	1734	791	1793	701	1443
unassigned_transcript_23	L0F63_000982	0	0	0	0	0	0
unassigned_transcript_24	L0F63_000983	0	0	0	0	0	0
unassigned_transcript_25	L0F63_000995	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001014-T1_mrna	L0F63_001014	227	393	53	327	155	273
gnl|WGS:JAKSZP|L0F63_001015-T1_mrna	L0F63_001015	0	14	0	4	0	2
gnl|WGS:JAKSZP|L0F63_001056-T1_mrna	L0F63_001056	307	786	88	765	118	204
gnl|WGS:JAKSZP|L0F63_001057-T1_mrna	L0F63_001057	527	1276	156	1200	178	363
gnl|WGS:JAKSZP|L0F63_001058-T1_mrna	L0F63_001058	1491	3022	877	4216	1254	1396
gnl|WGS:JAKSZP|L0F63_001070-T1_mrna	L0F63_001070	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001071-T1_mrna	L0F63_001071	300	537	157	683	176	214
gnl|WGS:JAKSZP|L0F63_001158-T1_mrna	L0F63_001158	558	3739	105	3259	532	395
gnl|WGS:JAKSZP|L0F63_001159-T1_mrna	L0F63_001159	3040	2778	2122	2651	2273	3976
gnl|WGS:JAKSZP|L0F63_001176-T1_mrna	L0F63_001176	46	152	35	230	64	46
gnl|WGS:JAKSZP|L0F63_001177-T1_mrna	L0F63_001177	65	158	28	156	40	28
gnl|WGS:JAKSZP|L0F63_001178-T1_mrna	L0F63_001178	154	419	8	2491	17	13
unassigned_transcript_26	L0F63_001179	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001190-T1_mrna	L0F63_001190	571	3205	513	7205	65	252
gnl|WGS:JAKSZP|L0F63_001205-T1_mrna	L0F63_001205	2906	9139	947	5330	1557	2692
gnl|WGS:JAKSZP|L0F63_001227-T1_mrna	L0F63_001227	2686	4791	636	4187	1381	2100
unassigned_transcript_27	L0F63_001228	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001258-T1_mrna	L0F63_001258	743	1170	163	1453	304	630
gnl|WGS:JAKSZP|L0F63_001259-T1_mrna	L0F63_001259	447	1025	85	1155	141	303
unassigned_transcript_28	L0F63_001279	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001303-T1_mrna	L0F63_001303	1	19	0	17	0	0
gnl|WGS:JAKSZP|L0F63_001325-T1_mrna	L0F63_001325	56	56	25	73	32	26
unassigned_transcript_29	L0F63_001354	0	0	0	0	0	0
unassigned_transcript_30	L0F63_001355	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001370-T1_mrna	L0F63_001370	911	5423	139	4888	313	448
unassigned_transcript_31	L0F63_001415	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001445-T1_mrna	L0F63_001445	0	34	1	334	0	3
gnl|WGS:JAKSZP|L0F63_001457-T1_mrna	L0F63_001457	1563	2022	739	2574	917	1691
unassigned_transcript_32	L0F63_001458	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001474-T1_mrna	L0F63_001474	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001492-T1_mrna	L0F63_001492	1303	4453	152	7348	892	737
gnl|WGS:JAKSZP|L0F63_001493-T1_mrna	L0F63_001493	1447	5164	177	7119	1051	764
gnl|WGS:JAKSZP|L0F63_001494-T1_mrna	L0F63_001494	1112	1117	194	1173	366	903
gnl|WGS:JAKSZP|L0F63_001518-T1_mrna	L0F63_001518	396	795	59	681	153	211
gnl|WGS:JAKSZP|L0F63_001519-T1_mrna	L0F63_001519	3486	3268	2658	2675	2693	4406
gnl|WGS:JAKSZP|L0F63_001611-T1_mrna	L0F63_001611	3302	5736	733	5267	1848	2711
gnl|WGS:JAKSZP|L0F63_001612-T1_mrna	L0F63_001612	559	1537	248	822	470	586
gnl|WGS:JAKSZP|L0F63_001631-T1_mrna	L0F63_001631	3280	2114	1623	2204	3506	3599
gnl|WGS:JAKSZP|L0F63_001632-T1_mrna	L0F63_001632	946	2978	196	2786	439	746
gnl|WGS:JAKSZP|L0F63_001672-T1_mrna	L0F63_001672	9	8	1	10	3	5
gnl|WGS:JAKSZP|L0F63_001673-T1_mrna	L0F63_001673	476	1114	107	1017	224	430
gnl|WGS:JAKSZP|L0F63_001743-T1_mrna	L0F63_001743	1	0	0	1	2	0
gnl|WGS:JAKSZP|L0F63_001744-T1_mrna	L0F63_001744	1207	2053	543	1866	1097	1040
unassigned_transcript_33	L0F63_001777	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001793-T1_mrna	L0F63_001793	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001806-T1_mrna	L0F63_001806	303	512	180	478	274	350
unassigned_transcript_34	L0F63_001807	0	0	0	0	0	0
unassigned_transcript_35	L0F63_001808	0	0	0	0	0	0
