tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
unassigned_transcript_36	L0F63_001827	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001869-T1_mrna	L0F63_001869	379	2026	141	3787	272	202
gnl|WGS:JAKSZP|L0F63_001896-T1_mrna	L0F63_001896	9	9	34	11	7	11
unassigned_transcript_37	L0F63_001910	0	0	0	0	0	0
unassigned_transcript_38	L0F63_001924	0	0	0	0	0	0
unassigned_transcript_39	L0F63_001925	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001926-T1_mrna	L0F63_001926	387	1569	51	1337	155	230
unassigned_transcript_40	L0F63_001950	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001966-T1_mrna	L0F63_001966	413	749	22	485	100	114
gnl|WGS:JAKSZP|L0F63_001995-T1_mrna	L0F63_001995	21	659	3	647	2	7
gnl|WGS:JAKSZP|L0F63_002011-T1_mrna	L0F63_002011	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002024-T1_mrna	L0F63_002024	45	57	11	82	14	23
unassigned_transcript_41	L0F63_002037	0	0	0	0	0	0
unassigned_transcript_42	L0F63_002038	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002077-T1_mrna	L0F63_002077	4108	7771	2270	8091	2579	4510
gnl|WGS:JAKSZP|L0F63_002078-T1_mrna	L0F63_002078	0	0	0	0	0	0
unassigned_transcript_43	L0F63_002103	0	0	0	0	0	0
unassigned_transcript_44	L0F63_002119	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002141-T1_mrna	L0F63_002141	99	450	28	430	52	97
gnl|WGS:JAKSZP|L0F63_002156-T1_mrna	L0F63_002156	0	0	0	0	0	0
unassigned_transcript_45	L0F63_002189	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002202-T1_mrna	L0F63_002202	2282	810	1181	1229	1608	2741
unassigned_transcript_46	L0F63_002219	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002220-T1_mrna	L0F63_002220	792	3213	82	3721	199	321
gnl|WGS:JAKSZP|L0F63_002250-T1_mrna	L0F63_002250	3274	2094	2417	1911	2063	3123
gnl|WGS:JAKSZP|L0F63_002251-T1_mrna	L0F63_002251	538	344	366	482	277	424
unassigned_transcript_47	L0F63_002294	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002332-T1_mrna	L0F63_002332	1745	1702	972	2043	1029	1548
gnl|WGS:JAKSZP|L0F63_002372-T1_mrna	L0F63_002372	2	0	3	0	2	1
unassigned_transcript_48	L0F63_002399	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002406-T1_mrna	L0F63_002406	273	1267	43	1504	122	172
unassigned_transcript_49	L0F63_002417	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002441-T1_mrna	L0F63_002441	173	3361	15	2165	396	45
unassigned_transcript_50	L0F63_002442	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002453-T1_mrna	L0F63_002453	1345	2042	521	2023	842	1260
gnl|WGS:JAKSZP|L0F63_002454-T1_mrna	L0F63_002454	1104	2201	389	2246	810	1331
gnl|WGS:JAKSZP|L0F63_002467-T1_mrna	L0F63_002467	292	856	172	735	136	300
gnl|WGS:JAKSZP|L0F63_002468-T1_mrna	L0F63_002468	14018	0	10025	3	14240	19541
unassigned_transcript_51	L0F63_002480	0	0	0	0	0	0
unassigned_transcript_52	L0F63_002500	0	0	0	0	0	0
unassigned_transcript_53	L0F63_002514	0	0	0	0	0	0
unassigned_transcript_54	L0F63_002560	0	0	0	0	0	0
unassigned_transcript_55	L0F63_002572	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002573-T1_mrna	L0F63_002573	8252	5705	7463	1058	13131	9022
gnl|WGS:JAKSZP|L0F63_002594-T1_mrna	L0F63_002594	155	499	60	457	72	112
gnl|WGS:JAKSZP|L0F63_002616-T1_mrna	L0F63_002616	171	844	48	830	78	158
gnl|WGS:JAKSZP|L0F63_002668-T1_mrna	L0F63_002668	1503	1133	733	858	906	1529
gnl|WGS:JAKSZP|L0F63_002669-T1_mrna	L0F63_002669	4059	1986	1942	2581	3117	4967
unassigned_transcript_56	L0F63_002681	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002693-T1_mrna	L0F63_002693	774	1941	280	2546	386	568
gnl|WGS:JAKSZP|L0F63_002704-T1_mrna	L0F63_002704	2021	5294	673	5141	1243	1705
gnl|WGS:JAKSZP|L0F63_002705-T1_mrna	L0F63_002705	2825	3262	1132	2468	417	1658
gnl|WGS:JAKSZP|L0F63_002755-T1_mrna	L0F63_002755	32	3	225	17	86	80
unassigned_transcript_57	L0F63_002802	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002803-T1_mrna	L0F63_002803	1058	3461	431	4235	254	603
gnl|WGS:JAKSZP|L0F63_002823-T1_mrna	L0F63_002823	256	390	13	340	88	177
gnl|WGS:JAKSZP|L0F63_002835-T1_mrna	L0F63_002835	168	535	76	805	122	151
gnl|WGS:JAKSZP|L0F63_002850-T1_mrna	L0F63_002850	1214	2021	621	2182	719	1057
unassigned_transcript_58	L0F63_002865	0	0	0	0	0	0
unassigned_transcript_59	L0F63_002876	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002877-T1_mrna	L0F63_002877	3035	3092	721	2280	2228	2542
gnl|WGS:JAKSZP|L0F63_002902-T1_mrna	L0F63_002902	2995	7149	311	13923	770	1370
unassigned_transcript_60	L0F63_002923	0	0	0	0	0	0
unassigned_transcript_61	L0F63_002924	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002932-T1_mrna	L0F63_002932	853	3077	303	3749	487	783
gnl|WGS:JAKSZP|L0F63_002942-T1_mrna	L0F63_002942	762	1622	301	1672	479	759
unassigned_transcript_62	L0F63_002948	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002949-T1_mrna	L0F63_002949	275.122	890.461	98.047	753.009	115.205	188.731
gnl|WGS:JAKSZP|L0F63_002950-T1_mrna	L0F63_002950	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002951-T1_mrna	L0F63_002951	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002952-T1_mrna	L0F63_002952	3	0	0	2	1	0
gnl|WGS:JAKSZP|L0F63_002953-T1_mrna	L0F63_002953	1	0	0	5	0	0
gnl|WGS:JAKSZP|L0F63_002954-T1_mrna	L0F63_002954	2740.689	3086.857	1672.903	2607.744	1846.327	3260.174
unassigned_transcript_63	L0F63_002975	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002976-T1_mrna	L0F63_002976	28	112	3	59	3	3
gnl|WGS:JAKSZP|L0F63_002998-T1_mrna	L0F63_002998	88	1	31	28	29	54
gnl|WGS:JAKSZP|L0F63_003031-T1_mrna	L0F63_003031	1185	1513	502	2757	655	1180
gnl|WGS:JAKSZP|L0F63_003032-T1_mrna	L0F63_003032	70	30	29	39	26	60
gnl|WGS:JAKSZP|L0F63_003048-T1_mrna	L0F63_003048	481	951	175	621	282	487
gnl|WGS:JAKSZP|L0F63_003076-T1_mrna	L0F63_003076	280	397	51	329	113	231
unassigned_transcript_64	L0F63_003115	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003116-T1_mrna	L0F63_003116	1543.71	1919.533	155.703	3678.033	284.527	732.847
gnl|WGS:JAKSZP|L0F63_003143-T1_mrna	L0F63_003143	4983	6288	2098	6088	3419	5166
unassigned_transcript_65	L0F63_003158	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003159-T1_mrna	L0F63_003159	214	661	37	597	96	191
gnl|WGS:JAKSZP|L0F63_003183-T1_mrna	L0F63_003183	0	0	0	0	0	0
unassigned_transcript_66	L0F63_003184	0	0	0	0	0	0
unassigned_transcript_67	L0F63_003211	0	0	0	0	0	0
unassigned_transcript_68	L0F63_003219	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003220-T1_mrna	L0F63_003220	4765	5910	1502	5477	3205	4556
gnl|WGS:JAKSZP|L0F63_003225-T1_mrna	L0F63_003225	1172	1936	220	2081	1123	1054
unassigned_transcript_69	L0F63_003240	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003254-T1_mrna	L0F63_003254	615	1113	182	1030	302	706
gnl|WGS:JAKSZP|L0F63_003255-T1_mrna	L0F63_003255	365	885	120	875	195	310
gnl|WGS:JAKSZP|L0F63_003265-T1_mrna	L0F63_003265	45	71	4	165	13	6
unassigned_transcript_70	L0F63_003277	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003316-T1_mrna	L0F63_003316	397	1381	195	1927	271	59
unassigned_transcript_71	L0F63_003317	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003324-T1_mrna	L0F63_003324	390	188	82	254	107	149
unassigned_transcript_72	L0F63_003335	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003346-T1_mrna	L0F63_003346	0	0	0	0	0	0
unassigned_transcript_73	L0F63_003357	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003410-T1_mrna	L0F63_003410	5456	9331	4814	11133	6512	4305
gnl|WGS:JAKSZP|L0F63_003436-T1_mrna	L0F63_003436	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003456-T1_mrna	L0F63_003456	1039	1354	110	2032	146	483
gnl|WGS:JAKSZP|L0F63_003473-T1_mrna	L0F63_003473	505	1046	116	1200	376	425
gnl|WGS:JAKSZP|L0F63_003502-T1_mrna	L0F63_003502	270	596	27	624	76	120
unassigned_transcript_74	L0F63_003515	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003534-T1_mrna	L0F63_003534	298	622	35	593	105	209
gnl|WGS:JAKSZP|L0F63_003535-T1_mrna	L0F63_003535	1994	2626	457	2664	1045	1768
unassigned_transcript_75	L0F63_003543	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003567-T1_mrna	L0F63_003567	30.055	3	13	1	19	47.46
unassigned_transcript_76	L0F63_003579	0	0	0	0	0	0
unassigned_transcript_77	L0F63_003623	0	0	0	0	0	0
unassigned_transcript_78	L0F63_003678	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003712-T1_mrna	L0F63_003712	1206	1207	681	906	1267	1200
gnl|WGS:JAKSZP|L0F63_003713-T1_mrna	L0F63_003713	1190	1303	705	1015	1395	1283
gnl|WGS:JAKSZP|L0F63_003714-T1_mrna	L0F63_003714	90	430	42	191	68	114
unassigned_transcript_79	L0F63_003722	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003723-T1_mrna	L0F63_003723	2368	17890	1380	109438	2459	1201
gnl|WGS:JAKSZP|L0F63_003731-T1_mrna	L0F63_003731	885	3448	88	2466	295	393
gnl|WGS:JAKSZP|L0F63_003738-T1_mrna	L0F63_003738	1080	1726	284	2042	855	1084
gnl|WGS:JAKSZP|L0F63_003754-T1_mrna	L0F63_003754	2743	8014	1131	9213	1875	2617
gnl|WGS:JAKSZP|L0F63_003755-T1_mrna	L0F63_003755	44	174	21	148	15	32
unassigned_transcript_80	L0F63_003770	0	0	0	0	0	0
unassigned_transcript_81	L0F63_003771	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003780-T1_mrna	L0F63_003780	357	1	398	6	578	338
gnl|WGS:JAKSZP|L0F63_003797-T1_mrna	L0F63_003797	662	688	510	572	461	886
unassigned_transcript_82	L0F63_003798	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003825-T1_mrna	L0F63_003825	451.802	1423.628	53.98	1650.34	210.923	287.85
unassigned_transcript_83	L0F63_003826	0	0	0	0	0	0
unassigned_transcript_84	L0F63_003854	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003876-T1_mrna	L0F63_003876	232	311	43	296	96	182
gnl|WGS:JAKSZP|L0F63_003877-T1_mrna	L0F63_003877	1324	4692	708	6128	685	1113
gnl|WGS:JAKSZP|L0F63_003889-T1_mrna	L0F63_003889	1423	3576	1615	5224	51	928
unassigned_transcript_85	L0F63_003890	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003896-T1_mrna	L0F63_003896	2001.29	4679.467	236.297	7014.967	510.473	982.153
gnl|WGS:JAKSZP|L0F63_003926-T1_mrna	L0F63_003926	2154	3583	1204	1799	1488	2335
unassigned_transcript_86	L0F63_003932	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003933-T1_mrna	L0F63_003933	8	672	14	186	55	2
gnl|WGS:JAKSZP|L0F63_003938-T1_mrna	L0F63_003938	15	13.261	27.295	42.271	0	0
gnl|WGS:JAKSZP|L0F63_003947-T1_mrna	L0F63_003947	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003948-T1_mrna	L0F63_003948	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003949-T1_mrna	L0F63_003949	22	8	9	21	16	19
unassigned_transcript_87	L0F63_003963	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003991-T1_mrna	L0F63_003991	414	3166	120	2349	218	357
gnl|WGS:JAKSZP|L0F63_004002-T1_mrna	L0F63_004002	159.662	419.102	81.419	445.559	187.837	189.354
gnl|WGS:JAKSZP|L0F63_004023-T1_mrna	L0F63_004023	0	0	0	0	0	0
unassigned_transcript_88	L0F63_004047	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004048-T1_mrna	L0F63_004048	1401	2227	60	2680	380	520
gnl|WGS:JAKSZP|L0F63_004055-T1_mrna	L0F63_004055	14	57	150	59	127	87
gnl|WGS:JAKSZP|L0F63_004061-T1_mrna	L0F63_004061	906	4671	162	3406	318	455
unassigned_transcript_89	L0F63_004071	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004087-T1_mrna	L0F63_004087	783	2145	154	1592	277	565
gnl|WGS:JAKSZP|L0F63_004092-T1_mrna	L0F63_004092	8	15	0	21	1	2
gnl|WGS:JAKSZP|L0F63_004098-T1_mrna	L0F63_004098	1388	3608	1198	2556	860	928
unassigned_transcript_90	L0F63_004108	0	0	0	0	0	0
unassigned_transcript_91	L0F63_004123	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004134-T1_mrna	L0F63_004134	1247	1461	424	1479	780	976
gnl|WGS:JAKSZP|L0F63_004143-T1_mrna	L0F63_004143	77	609	6	736	36	29
unassigned_transcript_92	L0F63_004144	0	0	0	0	0	0
unassigned_transcript_93	L0F63_004175	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004176-T1_mrna	L0F63_004176	3579	2164	1597	1544	3153	2740
gnl|WGS:JAKSZP|L0F63_004186-T1_mrna	L0F63_004186	28	9	10	6	14	26
gnl|WGS:JAKSZP|L0F63_004187-T1_mrna	L0F63_004187	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004188-T1_mrna	L0F63_004188	1	0	0	0	0	0
unassigned_transcript_94	L0F63_004234	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004252-T1_mrna	L0F63_004252	291	499.996	31	516.065	75	193
unassigned_transcript_95	L0F63_004257	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004258-T1_mrna	L0F63_004258	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004298-T1_mrna	L0F63_004298	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004299-T1_mrna	L0F63_004299	0	0	0	0	0	0
unassigned_transcript_96	L0F63_004318	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004355-T1_mrna	L0F63_004355	26.037	55.322	15.728	74.464	7.78	18.82
unassigned_transcript_97	L0F63_004370	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004371-T1_mrna	L0F63_004371	1984	7390	465	5914	708	1155
unassigned_transcript_98	L0F63_004394	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004395-T1_mrna	L0F63_004395	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004396-T1_mrna	L0F63_004396	0	0	0	0	0	1
gnl|WGS:JAKSZP|L0F63_004410-T1_mrna	L0F63_004410	2	0	0	1	0	0
unassigned_transcript_99	L0F63_004422	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004429-T1_mrna	L0F63_004429	0	2	0	2	1	1
gnl|WGS:JAKSZP|L0F63_004452-T1_mrna	L0F63_004452	0	5	0	4	0	0
gnl|WGS:JAKSZP|L0F63_004453-T1_mrna	L0F63_004453	977	4009	367	3463	380	1041
gnl|WGS:JAKSZP|L0F63_004460-T1_mrna	L0F63_004460	428	3549	53	1857	134	334
gnl|WGS:JAKSZP|L0F63_004482-T1_mrna	L0F63_004482	9963	2011	3851	2138	9299	7777
unassigned_transcript_100	L0F63_004514	0	0	0	0	0	0
unassigned_transcript_101	L0F63_004515	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004527-T1_mrna	L0F63_004527	53	105	10	93	31	43
gnl|WGS:JAKSZP|L0F63_004528-T1_mrna	L0F63_004528	579	1137	75	1083	335	595
unassigned_transcript_102	L0F63_004539	0	0	0	0	0	0
