gene_id	gene_name	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
L0F63_003795	L0F63_003795	4356	15661.781	1225	64935.476	2799.691	1890
L0F63_003796	L0F63_003796	0	0	0	0	0	0
L0F63_003797	L0F63_003797	662	688	510	572	461	886
L0F63_003798	L0F63_003798	0	0	0	0	0	0
L0F63_003799	L0F63_003799	4306	431	2338	652	4048	5876
L0F63_003800	L0F63_003800	0	0	0	0	0	0
L0F63_003801	L0F63_003801	0	0	0	0	0	0
L0F63_003802	L0F63_003802	0	0	0	0	0	0
L0F63_003803	L0F63_003803	3	1	0	2	1	5
L0F63_003804	L0F63_003804	228	486	46	527	122	127
L0F63_003805	L0F63_003805	422	1233	107	1261	198	387
L0F63_003806	L0F63_003806	0	0	0	0	0	0
L0F63_003807	L0F63_003807	144	191	43	240	53	111
L0F63_003808	L0F63_003808	0	0	0	0	0	0
L0F63_003809	L0F63_003809	35	208	6	244	4	4
L0F63_003810	L0F63_003810	0	0	0	0	0	0
L0F63_003811	L0F63_003811	578	709	234	727	262	698
L0F63_003812	L0F63_003812	508	748	92	850	264	437
L0F63_003813	L0F63_003813	17	762	11	155	20	15
L0F63_003814	L0F63_003814	0	0	0	0	0	0
L0F63_003815	L0F63_003815	0	0	0	0	0	0
L0F63_003816	L0F63_003816	0	0	0	0	0	0
L0F63_003817	L0F63_003817	191	711	48	689	70	109
L0F63_003818	L0F63_003818	263	1423	93	1457	106	133
L0F63_003819	L0F63_003819	1613	5349	955	5116	1718	1701
L0F63_003820	L0F63_003820	210	852	38	628	92	126
L0F63_003821	L0F63_003821	222	1163	95	722	138	213
L0F63_003822	L0F63_003822	0	0	0	0	0	0
L0F63_003823	L0F63_003823	0	0	0	0	0	0
L0F63_003824	L0F63_003824	133	18	16	55	30	79
L0F63_003825	L0F63_003825	451.802	1423.628	53.98	1650.34	210.923	287.85
L0F63_003826	L0F63_003826	0	0	0	0	0	0
L0F63_003827	L0F63_003827	416	824	428	963	117	339
L0F63_003828	L0F63_003828	1668	3955	488	5944	235	830
L0F63_003829	L0F63_003829	1630	3886	446	6796	255	898
L0F63_003830	L0F63_003830	342	979	148	1454	231	296
L0F63_003831	L0F63_003831	0	0	0	0	0	0
L0F63_003832	L0F63_003832	0	1	0	0	0	0
L0F63_003833	L0F63_003833	0	0	0	0	0	0
L0F63_003834	L0F63_003834	0	0	0	0	0	0
L0F63_003835	L0F63_003835	0	0	0	0	0	0
L0F63_003836	L0F63_003836	0	0	0	0	0	0
L0F63_003837	L0F63_003837	73	105	49	144	39	86
L0F63_003838	L0F63_003838	0	0	0	0	0	0
L0F63_003839	L0F63_003839	465	960	97	943	220	402
L0F63_003840	L0F63_003840	0	0	0	0	0	0
L0F63_003841	L0F63_003841	0	0	0	0	0	0
L0F63_003842	L0F63_003842	9610	151	5521	16	4665	10166
L0F63_003843	L0F63_003843	215	20830	22	1156	29	138
L0F63_003844	L0F63_003844	0	0	0	0	0	0
L0F63_003845	L0F63_003845	4407	0	2271	2	2017	6418
L0F63_003846	L0F63_003846	0	0	0	0	0	0
L0F63_003847	L0F63_003847	0	0	0	0	0	0
L0F63_003848	L0F63_003848	919	64	235	22	674	923
L0F63_003849	L0F63_003849	565	2609	410	4731	242	395
L0F63_003850	L0F63_003850	371	1228	126	1486	182	303
L0F63_003851	L0F63_003851	0	0	0	0	0	0
L0F63_003852	L0F63_003852	0	1.256	1.17	1.215	1.223	0
L0F63_003853	L0F63_003853	3.064	1.273	0	4.035	0	4.674
L0F63_003854	L0F63_003854	0	0	0	0	0	0
L0F63_003855	L0F63_003855	167345.98	24	62671	59	17589.461	35951.595
L0F63_003856	L0F63_003856	981.299	28.759	847.999	27.128	52016.945	109774.625
L0F63_003857	L0F63_003857	0	0	0	0	0	0
L0F63_003858	L0F63_003858	497	2170	130	2537	244	446
L0F63_003859	L0F63_003859	582	921	41	1769	168	244
L0F63_003860	L0F63_003860	0	0	0	0	0	0
L0F63_003861	L0F63_003861	0	0	0	0	0	0
L0F63_003862	L0F63_003862	191	373	39	442	109	155
L0F63_003863	L0F63_003863	482	866	112	1007	243	383
L0F63_003864	L0F63_003864	11	8	24	9	4	5
L0F63_003865	L0F63_003865	0	0	0	0	0	0
L0F63_003866	L0F63_003866	0	0	0	0	0	0
L0F63_003867	L0F63_003867	1245	1560	470	1608	1071	1296
L0F63_003868	L0F63_003868	0	0	0	0	0	0
L0F63_003869	L0F63_003869	0	1	0	4	0	0
L0F63_003870	L0F63_003870	280	544	110	513	198	240
L0F63_003871	L0F63_003871	279	579	185	549	232	289
L0F63_003872	L0F63_003872	604	544	423	813	433	652
L0F63_003873	L0F63_003873	622	626	240	698	240	621
L0F63_003874	L0F63_003874	1	63	2	71	0	0
L0F63_003875	L0F63_003875	0	0	0	0	0	0
L0F63_003876	L0F63_003876	232	311	43	296	96	182
L0F63_003877	L0F63_003877	1324	4692	708	6128	685	1113
L0F63_003878	L0F63_003878	0	0	0	0	0	0
L0F63_003879	L0F63_003879	30	54	15	45	5	20
L0F63_003880	L0F63_003880	2060	2211	1301	2091	1785	2636
L0F63_003881	L0F63_003881	507	2115	252	2188	191	297
L0F63_003882	L0F63_003882	3	8	1	4	0	1
L0F63_003883	L0F63_003883	0	0	0	0	0	0
L0F63_003884	L0F63_003884	0	0	0	0	0	0
L0F63_003885	L0F63_003885	0	0	0	0	0	0
L0F63_003886	L0F63_003886	0	0	0	0	0	0
L0F63_003887	L0F63_003887	465	1082	26	1396	93	130
L0F63_003888	L0F63_003888	2137	4748	263	4416	727	1352
L0F63_003889	L0F63_003889	1423	3576	1615	5224	51	928
L0F63_003890	L0F63_003890	0	0	0	0	0	0
L0F63_003891	L0F63_003891	470	388	464	385	430	866
L0F63_003892	L0F63_003892	1237	2003	287	2208	643	1111
L0F63_003893	L0F63_003893	0	0	0	0	0	0
L0F63_003894	L0F63_003894	55	292	8	292	14	21
L0F63_003895	L0F63_003895	324	973	1439	343	2974	501
L0F63_003896	L0F63_003896	2001.29	4679.467	236.297	7014.967	510.473	982.153
L0F63_003897	L0F63_003897	407	373	164	479	186	491
L0F63_003898	L0F63_003898	0	0	0	0	0	0
L0F63_003899	L0F63_003899	0	0	0	0	0	0
L0F63_003900	L0F63_003900	561	1294	170	1389	343	537
L0F63_003901	L0F63_003901	0	0	0	0	0	0
L0F63_003902	L0F63_003902	156	6	210	14	94	281.755
