Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
MCIC_FC_2024_111_1	(15.0, 5.0)	(16.0, 60.0)	(17.0, 312.0)	(18.0, 708.0)	(19.0, 955.0)	(20.0, 1555.0)	(21.0, 2527.0)	(22.0, 3941.0)	(23.0, 6139.0)	(24.0, 9850.0)	(25.0, 14033.0)	(26.0, 19021.0)	(27.0, 24469.0)	(28.0, 32989.0)	(29.0, 40482.0)	(30.0, 50632.0)	(31.0, 63962.0)	(32.0, 84082.0)	(33.0, 106453.0)	(34.0, 141663.0)	(35.0, 193078.0)	(36.0, 286918.0)	(37.0, 452799.0)	(38.0, 1169875.0)	(39.0, 12062254.0)	(40.0, 7162284.0)			
MCIC_FC_2024_111_2	(12.0, 1.0)	(13.0, 24.0)	(14.0, 133.0)	(15.0, 651.0)	(16.0, 2537.0)	(17.0, 5843.0)	(18.0, 9114.0)	(19.0, 10224.0)	(20.0, 12163.0)	(21.0, 13772.0)	(22.0, 16633.0)	(23.0, 20316.0)	(24.0, 26407.0)	(25.0, 32113.0)	(26.0, 39515.0)	(27.0, 46056.0)	(28.0, 56425.0)	(29.0, 65544.0)	(30.0, 79708.0)	(31.0, 96251.0)	(32.0, 123580.0)	(33.0, 149987.0)	(34.0, 193631.0)	(35.0, 254088.0)	(36.0, 371473.0)	(37.0, 569129.0)	(38.0, 1424460.0)	(39.0, 12605998.0)	(40.0, 5705270.0)
MCIC_FD_2024_105_1	(15.0, 6.0)	(16.0, 66.0)	(17.0, 405.0)	(18.0, 915.0)	(19.0, 1245.0)	(20.0, 1885.0)	(21.0, 2918.0)	(22.0, 4740.0)	(23.0, 7263.0)	(24.0, 11568.0)	(25.0, 16211.0)	(26.0, 21966.0)	(27.0, 28635.0)	(28.0, 37894.0)	(29.0, 46437.0)	(30.0, 58678.0)	(31.0, 73221.0)	(32.0, 97038.0)	(33.0, 121932.0)	(34.0, 163121.0)	(35.0, 221197.0)	(36.0, 327344.0)	(37.0, 512753.0)	(38.0, 1306051.0)	(39.0, 14068095.0)	(40.0, 8653998.0)			
MCIC_FD_2024_105_2	(12.0, 1.0)	(13.0, 30.0)	(14.0, 164.0)	(15.0, 802.0)	(16.0, 3695.0)	(17.0, 8831.0)	(18.0, 13569.0)	(19.0, 15205.0)	(20.0, 17873.0)	(21.0, 19674.0)	(22.0, 23514.0)	(23.0, 28368.0)	(24.0, 36110.0)	(25.0, 43229.0)	(26.0, 51524.0)	(27.0, 59294.0)	(28.0, 71398.0)	(29.0, 81037.0)	(30.0, 97443.0)	(31.0, 116216.0)	(32.0, 145840.0)	(33.0, 175836.0)	(34.0, 224989.0)	(35.0, 295030.0)	(36.0, 425681.0)	(37.0, 661756.0)	(38.0, 1693953.0)	(39.0, 14889679.0)	(40.0, 6584841.0)
MCIC_FD_2024_204_1	(16.0, 39.0)	(17.0, 311.0)	(18.0, 573.0)	(19.0, 873.0)	(20.0, 1535.0)	(21.0, 2580.0)	(22.0, 4010.0)	(23.0, 6055.0)	(24.0, 9547.0)	(25.0, 13212.0)	(26.0, 18348.0)	(27.0, 23625.0)	(28.0, 31903.0)	(29.0, 40066.0)	(30.0, 50076.0)	(31.0, 61441.0)	(32.0, 80005.0)	(33.0, 101427.0)	(34.0, 135658.0)	(35.0, 182453.0)	(36.0, 269690.0)	(37.0, 413460.0)	(38.0, 1047005.0)	(39.0, 11416044.0)	(40.0, 6679654.0)				
MCIC_FD_2024_204_2	(13.0, 12.0)	(14.0, 101.0)	(15.0, 559.0)	(16.0, 2631.0)	(17.0, 6725.0)	(18.0, 10494.0)	(19.0, 11452.0)	(20.0, 13473.0)	(21.0, 15249.0)	(22.0, 18096.0)	(23.0, 22030.0)	(24.0, 28694.0)	(25.0, 33937.0)	(26.0, 40402.0)	(27.0, 46455.0)	(28.0, 56365.0)	(29.0, 64276.0)	(30.0, 77020.0)	(31.0, 92031.0)	(32.0, 116668.0)	(33.0, 140286.0)	(34.0, 178998.0)	(35.0, 237170.0)	(36.0, 342157.0)	(37.0, 520678.0)	(38.0, 1254014.0)	(39.0, 11549396.0)	(40.0, 5710221.0)	
MCIC_MD_2024_109_1	(15.0, 4.0)	(16.0, 42.0)	(17.0, 348.0)	(18.0, 738.0)	(19.0, 999.0)	(20.0, 1671.0)	(21.0, 2708.0)	(22.0, 4195.0)	(23.0, 6400.0)	(24.0, 9993.0)	(25.0, 14099.0)	(26.0, 19406.0)	(27.0, 24982.0)	(28.0, 33302.0)	(29.0, 40768.0)	(30.0, 51613.0)	(31.0, 64481.0)	(32.0, 85457.0)	(33.0, 107881.0)	(34.0, 144984.0)	(35.0, 197166.0)	(36.0, 295507.0)	(37.0, 469039.0)	(38.0, 1234840.0)	(39.0, 12920905.0)	(40.0, 7209225.0)			
MCIC_MD_2024_109_2	(13.0, 19.0)	(14.0, 134.0)	(15.0, 655.0)	(16.0, 2909.0)	(17.0, 6754.0)	(18.0, 10288.0)	(19.0, 11800.0)	(20.0, 13730.0)	(21.0, 15492.0)	(22.0, 18392.0)	(23.0, 22147.0)	(24.0, 28588.0)	(25.0, 34480.0)	(26.0, 41757.0)	(27.0, 48260.0)	(28.0, 59012.0)	(29.0, 67947.0)	(30.0, 82489.0)	(31.0, 97932.0)	(32.0, 124802.0)	(33.0, 151370.0)	(34.0, 195296.0)	(35.0, 258595.0)	(36.0, 380303.0)	(37.0, 595785.0)	(38.0, 1555747.0)	(39.0, 13369956.0)	(40.0, 5746114.0)	
MCIC_MD_2024_113_1	(15.0, 5.0)	(16.0, 91.0)	(17.0, 437.0)	(18.0, 731.0)	(19.0, 886.0)	(20.0, 1353.0)	(21.0, 2197.0)	(22.0, 3375.0)	(23.0, 5100.0)	(24.0, 8005.0)	(25.0, 11293.0)	(26.0, 15397.0)	(27.0, 20041.0)	(28.0, 26560.0)	(29.0, 33440.0)	(30.0, 43991.0)	(31.0, 55223.0)	(32.0, 74626.0)	(33.0, 96147.0)	(34.0, 132269.0)	(35.0, 184896.0)	(36.0, 286328.0)	(37.0, 477282.0)	(38.0, 1376171.0)	(39.0, 15237746.0)	(40.0, 8411141.0)			
MCIC_MD_2024_113_2	(12.0, 2.0)	(13.0, 15.0)	(14.0, 129.0)	(15.0, 674.0)	(16.0, 2667.0)	(17.0, 5770.0)	(18.0, 8357.0)	(19.0, 9194.0)	(20.0, 11022.0)	(21.0, 12492.0)	(22.0, 14901.0)	(23.0, 18399.0)	(24.0, 23716.0)	(25.0, 29168.0)	(26.0, 36207.0)	(27.0, 43344.0)	(28.0, 54299.0)	(29.0, 64441.0)	(30.0, 79350.0)	(31.0, 96325.0)	(32.0, 123924.0)	(33.0, 150507.0)	(34.0, 194460.0)	(35.0, 255475.0)	(36.0, 375054.0)	(37.0, 585771.0)	(38.0, 1552141.0)	(39.0, 15562649.0)	(40.0, 7194278.0)
