Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
MCIC_FC_2024_111_1	(2.0, 50782.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 21.0)	(16.0, 270.0)	(17.0, 1153.0)	(18.0, 2152.0)	(19.0, 2291.0)	(20.0, 3078.0)	(21.0, 4095.0)	(22.0, 5648.0)	(23.0, 7964.0)	(24.0, 11415.0)	(25.0, 15266.0)	(26.0, 19675.0)	(27.0, 25277.0)	(28.0, 33734.0)	(29.0, 41443.0)	(30.0, 51181.0)	(31.0, 64329.0)	(32.0, 84171.0)	(33.0, 106486.0)	(34.0, 141294.0)	(35.0, 193503.0)	(36.0, 286878.0)	(37.0, 452154.0)	(38.0, 1175818.0)	(39.0, 12083077.0)	(40.0, 7137670.0)
MCIC_FC_2024_111_2	(2.0, 51199.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 14.0)	(13.0, 92.0)	(14.0, 470.0)	(15.0, 1762.0)	(16.0, 5785.0)	(17.0, 11495.0)	(18.0, 14450.0)	(19.0, 14429.0)	(20.0, 15599.0)	(21.0, 16397.0)	(22.0, 18787.0)	(23.0, 22062.0)	(24.0, 27671.0)	(25.0, 32532.0)	(26.0, 39347.0)	(27.0, 46041.0)	(28.0, 56093.0)	(29.0, 65145.0)	(30.0, 78773.0)	(31.0, 95909.0)	(32.0, 122735.0)	(33.0, 149121.0)	(34.0, 192492.0)	(35.0, 254030.0)	(36.0, 371072.0)	(37.0, 568387.0)	(38.0, 1433009.0)	(39.0, 12614068.0)	(40.0, 5681859.0)
MCIC_FD_2024_105_1	(2.0, 24606.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 19.0)	(16.0, 342.0)	(17.0, 1543.0)	(18.0, 2870.0)	(19.0, 3117.0)	(20.0, 3852.0)	(21.0, 5015.0)	(22.0, 6919.0)	(23.0, 9444.0)	(24.0, 13587.0)	(25.0, 17910.0)	(26.0, 23031.0)	(27.0, 29669.0)	(28.0, 38856.0)	(29.0, 47298.0)	(30.0, 59049.0)	(31.0, 73549.0)	(32.0, 97126.0)	(33.0, 121878.0)	(34.0, 162935.0)	(35.0, 221405.0)	(36.0, 327388.0)	(37.0, 511958.0)	(38.0, 1313019.0)	(39.0, 14092779.0)	(40.0, 8628144.0)
MCIC_FD_2024_105_2	(2.0, 24820.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 13.0)	(13.0, 111.0)	(14.0, 558.0)	(15.0, 2304.0)	(16.0, 8712.0)	(17.0, 17220.0)	(18.0, 21787.0)	(19.0, 21726.0)	(20.0, 22829.0)	(21.0, 23359.0)	(22.0, 26201.0)	(23.0, 30312.0)	(24.0, 36834.0)	(25.0, 43114.0)	(26.0, 50532.0)	(27.0, 58761.0)	(28.0, 70300.0)	(29.0, 80250.0)	(30.0, 96202.0)	(31.0, 115439.0)	(32.0, 144782.0)	(33.0, 174862.0)	(34.0, 223693.0)	(35.0, 294876.0)	(36.0, 425624.0)	(37.0, 660556.0)	(38.0, 1704292.0)	(39.0, 14900998.0)	(40.0, 6556242.0)
MCIC_FD_2024_204_1	(2.0, 119729.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 14.0)	(16.0, 228.0)	(17.0, 1120.0)	(18.0, 1800.0)	(19.0, 2101.0)	(20.0, 2999.0)	(21.0, 4221.0)	(22.0, 5902.0)	(23.0, 8063.0)	(24.0, 11394.0)	(25.0, 14740.0)	(26.0, 19496.0)	(27.0, 24762.0)	(28.0, 33473.0)	(29.0, 42205.0)	(30.0, 51791.0)	(31.0, 62745.0)	(32.0, 80755.0)	(33.0, 101338.0)	(34.0, 135236.0)	(35.0, 182525.0)	(36.0, 269327.0)	(37.0, 412237.0)	(38.0, 1051965.0)	(39.0, 11435697.0)	(40.0, 6656339.0)
MCIC_FD_2024_204_2	(2.0, 120806.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 59.0)	(14.0, 317.0)	(15.0, 1568.0)	(16.0, 6147.0)	(17.0, 13038.0)	(18.0, 16788.0)	(19.0, 16364.0)	(20.0, 17474.0)	(21.0, 18280.0)	(22.0, 20718.0)	(23.0, 24660.0)	(24.0, 30229.0)	(25.0, 34480.0)	(26.0, 40615.0)	(27.0, 46643.0)	(28.0, 56070.0)	(29.0, 64063.0)	(30.0, 77175.0)	(31.0, 91996.0)	(32.0, 116035.0)	(33.0, 139641.0)	(34.0, 178136.0)	(35.0, 237125.0)	(36.0, 341828.0)	(37.0, 519699.0)	(38.0, 1258443.0)	(39.0, 11554062.0)	(40.0, 5689742.0)
MCIC_MD_2024_109_1	(2.0, 59958.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 17.0)	(16.0, 244.0)	(17.0, 1277.0)	(18.0, 2284.0)	(19.0, 2633.0)	(20.0, 3270.0)	(21.0, 4358.0)	(22.0, 5868.0)	(23.0, 8289.0)	(24.0, 11653.0)	(25.0, 15367.0)	(26.0, 20219.0)	(27.0, 25730.0)	(28.0, 34330.0)	(29.0, 41690.0)	(30.0, 51946.0)	(31.0, 64854.0)	(32.0, 85492.0)	(33.0, 107791.0)	(34.0, 144541.0)	(35.0, 197695.0)	(36.0, 295526.0)	(37.0, 468262.0)	(38.0, 1241558.0)	(39.0, 12943171.0)	(40.0, 7184993.0)
MCIC_MD_2024_109_2	(2.0, 60436.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 77.0)	(14.0, 426.0)	(15.0, 1832.0)	(16.0, 6903.0)	(17.0, 13377.0)	(18.0, 16829.0)	(19.0, 16877.0)	(20.0, 17987.0)	(21.0, 18820.0)	(22.0, 20987.0)	(23.0, 24115.0)	(24.0, 29784.0)	(25.0, 34725.0)	(26.0, 41236.0)	(27.0, 47784.0)	(28.0, 58092.0)	(29.0, 66807.0)	(30.0, 81125.0)	(31.0, 97210.0)	(32.0, 123745.0)	(33.0, 150527.0)	(34.0, 194123.0)	(35.0, 258857.0)	(36.0, 380183.0)	(37.0, 594647.0)	(38.0, 1566779.0)	(39.0, 13379677.0)	(40.0, 5719045.0)
MCIC_MD_2024_113_1	(2.0, 30902.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 20.0)	(16.0, 396.0)	(17.0, 1639.0)	(18.0, 2320.0)	(19.0, 2247.0)	(20.0, 2782.0)	(21.0, 3540.0)	(22.0, 4966.0)	(23.0, 6591.0)	(24.0, 9425.0)	(25.0, 12350.0)	(26.0, 16135.0)	(27.0, 20484.0)	(28.0, 26975.0)	(29.0, 33864.0)	(30.0, 44118.0)	(31.0, 55540.0)	(32.0, 74812.0)	(33.0, 96086.0)	(34.0, 132047.0)	(35.0, 185344.0)	(36.0, 286460.0)	(37.0, 476518.0)	(38.0, 1384017.0)	(39.0, 15264821.0)	(40.0, 8379715.0)
MCIC_MD_2024_113_2	(2.0, 31139.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 68.0)	(14.0, 428.0)	(15.0, 1781.0)	(16.0, 6146.0)	(17.0, 11481.0)	(18.0, 13775.0)	(19.0, 13479.0)	(20.0, 14727.0)	(21.0, 15753.0)	(22.0, 17638.0)	(23.0, 21168.0)	(24.0, 26163.0)	(25.0, 30871.0)	(26.0, 37298.0)	(27.0, 44231.0)	(28.0, 53794.0)	(29.0, 63367.0)	(30.0, 77491.0)	(31.0, 94498.0)	(32.0, 121736.0)	(33.0, 148586.0)	(34.0, 192535.0)	(35.0, 254669.0)	(36.0, 374608.0)	(37.0, 585306.0)	(38.0, 1560430.0)	(39.0, 15573081.0)	(40.0, 7167862.0)
