Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
MCIC_FC_2024_111_1	0.23081861702913412	0.6766155360083088
MCIC_FC_2024_111_2	0.2327140004977086	0.2043377918782591
MCIC_FD_2024_105_1	0.11863851610862416	0.20488201770548167
MCIC_FD_2024_105_2	0.14666388051480128	0.0
MCIC_FD_2024_204_1	0.5775025451950282	1.2087089828321669
MCIC_FD_2024_204_2	0.5826973621664808	0.3259807942262576
MCIC_MD_2024_109_1	0.2604263376950119	0.0
MCIC_MD_2024_109_2	0.26250252084685516	0.0
MCIC_MD_2024_113_1	0.2592969209968745	6.137798459402562
MCIC_MD_2024_113_2	0.47384371400981407	2.7301795872383465
MCIC_MD_2024_116_1	0.17938830053310403	2.903675778880232
MCIC_MD_2024_116_2	0.3202225085169444	0.7262943487900586
