Sample	Unique Reads	Duplicate Reads
MCIC_FC_2024_111_1	4620923.0	17310123.0
MCIC_FC_2024_111_2	4682734.0	17248312.0
MCIC_FD_2024_105_1	5947597.0	19837985.0
MCIC_FD_2024_105_2	6110904.0	19674678.0
MCIC_FD_2024_204_1	3705719.0	16883871.0
MCIC_FD_2024_204_2	3810193.0	16779397.0
MCIC_MD_2024_109_1	5872154.0	17068599.0
MCIC_MD_2024_109_2	5830469.0	17110284.0
MCIC_MD_2024_113_1	3459546.0	23045185.0
MCIC_MD_2024_113_2	3573185.0	22931546.0
MCIC_MD_2024_116_1	4411111.0	21961776.0
MCIC_MD_2024_116_2	4584987.0	21787900.0
