Sample	Unique Reads	Duplicate Reads
MCIC_FC_2024_111_1	4628887.0	17371938.0
MCIC_FC_2024_111_2	4698104.0	17302721.0
MCIC_FD_2024_105_1	5961742.0	19875567.0
MCIC_FD_2024_105_2	6137759.0	19699550.0
MCIC_FD_2024_204_1	3714009.0	17018194.0
MCIC_FD_2024_204_2	3831462.0	16900741.0
MCIC_MD_2024_109_1	5882730.0	17140287.0
MCIC_MD_2024_109_2	5854543.0	17168474.0
MCIC_MD_2024_113_1	3464870.0	23089244.0
MCIC_MD_2024_113_2	3587819.0	22966295.0
MCIC_MD_2024_116_1	4419996.0	22018183.0
MCIC_MD_2024_116_2	4612475.0	21825704.0
