Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
MCIC_FC_2024_111_1	(1, 39.0208727172731)	(2, 38.628190715575435)	(3, 38.52023349124408)	(4, 38.903853196414225)	(5, 38.868045175578644)	(6, 39.04996380817538)	(7, 39.153410656191305)	(8, 39.11502082308277)	(9, 39.192419375182524)	(10, 39.16405543883013)	(12, 39.17680886966739)	(14, 39.19006164541557)	(16, 39.31218924744867)	(18, 39.30814812626345)	(20, 39.33108072083661)	(22, 39.34382147033123)	(24, 39.33243526095044)	(26, 39.338580030521584)	(28, 39.336421020575365)	(30, 39.34256024489991)	(32, 39.34173095781635)	(34, 39.341537555978014)	(36, 39.4045285804215)	(38, 39.41286518679733)	(40, 39.41221036546514)	(42, 39.408302155143346)	(44, 39.40328359506253)	(46, 39.404849719727316)	(48, 39.38821605882755)	(50, 39.40453681327595)	(52, 39.40098810487892)	(54, 39.398708824892125)	(56, 39.40154748013998)	(58, 39.393913670178364)	(60, 39.395811914359044)	(62, 39.406964594627695)	(64, 39.3971136261552)	(66, 39.24124320221195)	(68, 39.40570710153675)	(70, 39.40730002570883)	(72, 39.410194328609876)	(74, 39.39787604778427)	(76, 39.412759889458655)	(78, 39.413640439070306)	(80, 39.40729218880903)	(82, 39.397514816037386)	(84, 39.382685611963694)	(86, 39.388246952140264)	(88, 39.392439414087484)	(90, 39.38346212122438)	(92, 39.06075143945307)	(94, 39.379615832139976)	(96, 39.361341301463284)	(98, 39.322636019951524)	(100, 39.40786782061231)
MCIC_FC_2024_111_2	(1, 39.08764484968177)	(2, 39.058102321162956)	(3, 38.66707498468807)	(4, 38.9477422778464)	(5, 38.93004057802378)	(6, 39.01163497277943)	(7, 39.055928039062174)	(8, 38.97963744541398)	(9, 39.038689412783384)	(10, 39.01481149002367)	(12, 39.02992583232674)	(14, 39.059185462363345)	(16, 39.02882896436839)	(18, 39.03013809709409)	(20, 39.03863823288445)	(22, 39.04601313814368)	(24, 39.043802630128646)	(26, 39.056019671989574)	(28, 39.08740231332234)	(30, 39.06198281200818)	(32, 39.064275271495504)	(34, 39.06046759610151)	(36, 39.087852470209874)	(38, 39.09868414636179)	(40, 39.09758094362432)	(42, 39.097318584035975)	(44, 39.09834478160076)	(46, 39.10209538347482)	(48, 39.086398952045904)	(50, 38.89461648950414)	(52, 39.07755824683082)	(54, 39.06039838597316)	(56, 39.07220231840746)	(58, 39.062855971957546)	(60, 39.04538034343241)	(62, 39.05750876919478)	(64, 39.04908275142801)	(66, 39.034154837704826)	(68, 39.04411188152697)	(70, 39.031684078678836)	(72, 39.041841471884666)	(74, 39.03912347237328)	(76, 39.02491917119667)	(78, 39.01826406045974)	(80, 39.011284732034724)	(82, 39.007054130531685)	(84, 38.995740985735395)	(86, 38.97688233594553)	(88, 38.9856786650285)	(90, 38.94599203994511)	(92, 38.9460276456744)	(94, 38.93442763332416)	(96, 38.929633565139596)	(98, 38.92560685993753)	(100, 38.93814705760961)
MCIC_FD_2024_105_1	(1, 39.05576219257199)	(2, 38.67534587290031)	(3, 38.54065436923017)	(4, 38.938698608279985)	(5, 38.96383203064994)	(6, 39.1628248127543)	(7, 39.200485158884)	(8, 39.18836563049194)	(9, 39.24827527510702)	(10, 39.237459442854515)	(12, 39.25040343791221)	(14, 39.25602894635815)	(16, 39.37407738553578)	(18, 39.37982419144346)	(20, 39.39352933387916)	(22, 39.402421204158685)	(24, 39.39474343090451)	(26, 39.40165591548253)	(28, 39.3989085318444)	(30, 39.40080145343309)	(32, 39.3996564425498)	(34, 39.39824967840111)	(36, 39.41278473826362)	(38, 39.42171990539926)	(40, 39.420874787686444)	(42, 39.42010402908004)	(44, 39.417575340420484)	(46, 39.4154621292901)	(48, 39.40041007417966)	(50, 39.412782590525076)	(52, 39.412848221631876)	(54, 39.408842121359925)	(56, 39.41700291121097)	(58, 39.40744004556335)	(60, 39.40805482798072)	(62, 39.41636494982036)	(64, 39.40777218704258)	(66, 39.255028118889804)	(68, 39.41915610557233)	(70, 39.423849424947214)	(72, 39.426026458664076)	(74, 39.41172480782953)	(76, 39.4293880717741)	(78, 39.42765038573937)	(80, 39.422212532998174)	(82, 39.41501873546552)	(84, 39.40177742682222)	(86, 39.403229010727316)	(88, 39.40948338025363)	(90, 39.39972958633783)	(92, 39.08419770096073)	(94, 39.39875101647309)	(96, 39.382777860069694)	(98, 39.35069276134293)	(100, 39.41964774207908)
MCIC_FD_2024_105_2	(1, 39.14400729580623)	(2, 39.08220054960058)	(3, 38.66097440720316)	(4, 38.928276625092806)	(5, 38.87695626506615)	(6, 38.99598383097868)	(7, 39.05811073436479)	(8, 38.9797736289023)	(9, 39.02835949362993)	(10, 39.013952420509426)	(12, 39.031748159222)	(14, 39.06005311930898)	(16, 39.02102188737999)	(18, 39.02849139591124)	(20, 39.042318222845886)	(22, 39.055612834912495)	(24, 39.04427411538872)	(26, 39.06543820023981)	(28, 39.086787404988655)	(30, 39.06643803346549)	(32, 39.06422456765912)	(34, 39.060091977844905)	(36, 39.04942245480308)	(38, 39.055538230016076)	(40, 39.055515877660596)	(42, 39.04636735614771)	(44, 39.05728671616073)	(46, 39.05643030343985)	(48, 39.04073321111335)	(50, 38.862963052025464)	(52, 39.02890790485118)	(54, 39.01391011396343)	(56, 39.02573428685954)	(58, 39.02010624837975)	(60, 39.008077892638354)	(62, 39.020819922525575)	(64, 39.00933532847024)	(66, 38.99748763844133)	(68, 39.00977901038883)	(70, 39.000391548865025)	(72, 39.00767230082987)	(74, 39.0026736902896)	(76, 38.99491134183761)	(78, 38.99064615704336)	(80, 38.98064489583858)	(82, 38.98321523205827)	(84, 38.96808539860099)	(86, 38.947452607047495)	(88, 38.95836683270869)	(90, 38.92420612763134)	(92, 38.923118555968735)	(94, 38.911599595291406)	(96, 38.907699518760076)	(98, 38.909790026844114)	(100, 38.92738625308157)
MCIC_FD_2024_204_1	(1, 38.920696753741026)	(2, 38.5301346894973)	(3, 38.32920939467938)	(4, 38.77713497210113)	(5, 38.792130966496906)	(6, 38.9502010953684)	(7, 39.04367181818546)	(8, 39.021390925026154)	(9, 39.08033593921495)	(10, 39.06304158800683)	(12, 39.0589764146145)	(14, 39.065928594274325)	(16, 39.18502727375378)	(18, 39.19383106561324)	(20, 39.22358487421718)	(22, 39.22123119284525)	(24, 39.21585270026538)	(26, 39.20947614684267)	(28, 39.208820644868275)	(30, 39.21800789814763)	(32, 39.21280681073786)	(34, 39.21367381941996)	(36, 39.39637453458546)	(38, 39.40856406397239)	(40, 39.42000018220824)	(42, 39.4141652581818)	(44, 39.393573361228505)	(46, 39.398812526160185)	(48, 39.380078303617054)	(50, 39.39531828889337)	(52, 39.389924118038834)	(54, 39.38140038827275)	(56, 39.37124855855311)	(58, 39.36660449463617)	(60, 39.37682387289529)	(62, 39.388097319430784)	(64, 39.38227547670295)	(66, 39.21913812183542)	(68, 39.37275006238727)	(70, 39.380341928472575)	(72, 39.391618340057065)	(74, 39.37122163763586)	(76, 39.389768291386574)	(78, 39.393403023359596)	(80, 39.385404484895574)	(82, 39.372780741989544)	(84, 39.354756401394056)	(86, 39.36711723054974)	(88, 39.3770754761148)	(90, 39.3699020186676)	(92, 39.04512004108465)	(94, 39.3604296052893)	(96, 39.34052919840559)	(98, 39.30008263379622)	(100, 39.378836428812015)
MCIC_FD_2024_204_2	(1, 38.95873410076102)	(2, 38.88237636878242)	(3, 38.50527413801611)	(4, 38.770930228688194)	(5, 38.72417475364292)	(6, 38.84543943545218)	(7, 38.90020274256431)	(8, 38.82593991579187)	(9, 38.901667324017616)	(10, 38.864780071852465)	(12, 38.893842202876364)	(14, 38.914951585222276)	(16, 38.88994912889865)	(18, 38.894600347102525)	(20, 38.90434161772389)	(22, 38.913874565090836)	(24, 38.918212068442514)	(26, 38.934595180261354)	(28, 38.95116283590316)	(30, 38.9291265380722)	(32, 38.919428195836204)	(34, 38.91352250409665)	(36, 39.08475309478207)	(38, 39.08544004931616)	(40, 39.085888428173035)	(42, 39.08481411110364)	(44, 39.08050652103465)	(46, 39.07708694590244)	(48, 39.068439533999616)	(50, 38.8845896790425)	(52, 39.05971388180906)	(54, 39.04782030709871)	(56, 39.05501058398869)	(58, 39.04838831625126)	(60, 39.03341960394232)	(62, 39.04131036670083)	(64, 39.0335554720391)	(66, 39.01384006849859)	(68, 39.019443202064934)	(70, 39.00875961227352)	(72, 39.02267687753632)	(74, 39.00276499116477)	(76, 39.00153001651542)	(78, 38.99482443621268)	(80, 38.986738509998276)	(82, 38.987959019946004)	(84, 38.97776928701733)	(86, 38.96285225132259)	(88, 38.960654735119405)	(90, 38.929888493327546)	(92, 38.927877016193996)	(94, 38.91370283824472)	(96, 38.90164340029721)	(98, 38.904184298159436)	(100, 38.912549697751125)
MCIC_MD_2024_109_1	(1, 38.99362911472463)	(2, 38.654352728836535)	(3, 38.50749847424427)	(4, 38.898173423578676)	(5, 38.88779320277616)	(6, 39.05148530272987)	(7, 39.13101189127385)	(8, 39.129986135179415)	(9, 39.18225539250568)	(10, 39.152745359133434)	(12, 39.15896765397862)	(14, 39.16534223121148)	(16, 39.294740128976144)	(18, 39.30361403112373)	(20, 39.318627788877535)	(22, 39.32800596898313)	(24, 39.31911087065609)	(26, 39.32901330872491)	(28, 39.328300109407905)	(30, 39.33536634229997)	(32, 39.33035396707564)	(34, 39.32770509616529)	(36, 39.39878344307071)	(38, 39.41136451334249)	(40, 39.412465981561375)	(42, 39.405640816819165)	(44, 39.400703836492994)	(46, 39.40149011495347)	(48, 39.391792060352145)	(50, 39.404550220119674)	(52, 39.40461450034638)	(54, 39.3944447916687)	(56, 39.399562997552515)	(58, 39.39134356062415)	(60, 39.39566897896691)	(62, 39.40597415005122)	(64, 39.39650988571785)	(66, 39.24230132195636)	(68, 39.40535484641363)	(70, 39.40966138393391)	(72, 39.41540732235029)	(74, 39.40064226160309)	(76, 39.417285378721544)	(78, 39.41316913276635)	(80, 39.411174519473796)	(82, 39.4035904423859)	(84, 39.391230458368966)	(86, 39.393372636070865)	(88, 39.398422060179755)	(90, 39.384188953567616)	(92, 39.07247393188659)	(94, 39.38327200734312)	(96, 39.36985804372464)	(98, 39.335998279907145)	(100, 39.41641978674201)
MCIC_MD_2024_109_2	(1, 39.076112396563836)	(2, 39.03973662530849)	(3, 38.609147706401814)	(4, 38.92356940013553)	(5, 38.88814346095475)	(6, 38.972069907258465)	(7, 39.023921843084246)	(8, 38.95162306486591)	(9, 39.00664487195575)	(10, 38.991649009337046)	(12, 39.00009429693771)	(14, 39.03224811934943)	(16, 39.00312691425281)	(18, 39.003605826291135)	(20, 39.01445158121544)	(22, 39.023131851051495)	(24, 39.01851612236572)	(26, 39.04381350194026)	(28, 39.05683338547681)	(30, 39.03713761754161)	(32, 39.03886658295045)	(34, 39.03569362781603)	(36, 39.081230022191356)	(38, 39.08348770707974)	(40, 39.08272803391674)	(42, 39.077694437529274)	(44, 39.08703013126183)	(46, 39.08813173707165)	(48, 39.068062921361836)	(50, 38.8875076453001)	(52, 39.05770370135933)	(54, 39.043526929596446)	(56, 39.05239875974651)	(58, 39.049889283901976)	(60, 39.03217984280956)	(62, 39.04343097131822)	(64, 39.038664301783754)	(66, 39.02697596941693)	(68, 39.03789815026214)	(70, 39.03216795990561)	(72, 39.03172392562612)	(74, 39.029021071594826)	(76, 39.02296137259435)	(78, 39.01654051790557)	(80, 39.0052598712935)	(82, 39.00637586172809)	(84, 38.99203149872001)	(86, 38.975350298910854)	(88, 38.98107071072985)	(90, 38.94528196196692)	(92, 38.94908218275948)	(94, 38.940660684564236)	(96, 38.926537602088736)	(98, 38.93020940344164)	(100, 38.9489202114042)
MCIC_MD_2024_113_1	(1, 39.04441210126612)	(2, 38.80248521942777)	(3, 38.53648786775563)	(4, 38.99742578494617)	(5, 39.04444832917415)	(6, 39.19582984391797)	(7, 39.28197687183236)	(8, 39.24518392893847)	(9, 39.28612327264995)	(10, 39.28747937136973)	(12, 39.29204499159716)	(14, 39.30551461818685)	(16, 39.433118950984394)	(18, 39.43884710293855)	(20, 39.45734035788202)	(22, 39.45177316027189)	(24, 39.45208648271978)	(26, 39.44770426156941)	(28, 39.445149403214884)	(30, 39.45070967157858)	(32, 39.45869690850917)	(34, 39.45264778934066)	(36, 39.469562505610796)	(38, 39.4849800567157)	(40, 39.49484655861002)	(42, 39.49682841083876)	(44, 39.490981218343805)	(46, 39.48917361384888)	(48, 39.47415375410387)	(50, 39.493862119936686)	(52, 39.495175802094614)	(54, 39.49723725441768)	(56, 39.49169882238007)	(58, 39.47221697690584)	(60, 39.48643692440258)	(62, 39.49470987995646)	(64, 39.47715663401699)	(66, 39.32270353973357)	(68, 39.489522478202325)	(70, 39.49907621884847)	(72, 39.50039328887048)	(74, 39.48818736672075)	(76, 39.50513206126474)	(78, 39.51030441527577)	(80, 39.49145217423814)	(82, 39.485866088427116)	(84, 39.47831748213804)	(86, 39.48700958888039)	(88, 39.49313042059257)	(90, 39.48840768358759)	(92, 39.133907227469294)	(94, 39.48223697170318)	(96, 39.46246173070844)	(98, 39.40921295988986)	(100, 39.50331536877247)
MCIC_MD_2024_113_2	(1, 39.19943109380339)	(2, 39.21657224187559)	(3, 38.888048232375596)	(4, 39.06349539660785)	(5, 39.070956236762406)	(6, 39.16961499826355)	(7, 39.18529287024978)	(8, 39.1543456505459)	(9, 39.189121580181514)	(10, 39.17108301937696)	(12, 39.19951047886591)	(14, 39.24405468772183)	(16, 39.2112104361682)	(18, 39.18981849667438)	(20, 39.20018043155196)	(22, 39.209596298336294)	(24, 39.21247329133256)	(26, 39.21004560724564)	(28, 39.273136170161806)	(30, 39.24886211605478)	(32, 39.23978676147884)	(34, 39.230440676725266)	(36, 39.20588514409272)	(38, 39.23292521212228)	(40, 39.232275058238585)	(42, 39.239380673922184)	(44, 39.22580801311736)	(46, 39.222567786270446)	(48, 39.222647789261345)	(50, 39.006406574955506)	(52, 39.20594239908081)	(54, 39.184559969792176)	(56, 39.204737597250464)	(58, 39.20189392988709)	(60, 39.18348973518583)	(62, 39.19931269442756)	(64, 39.185811096498426)	(66, 39.16059929033861)	(68, 39.17026594811576)	(70, 39.15808578138842)	(72, 39.18136757712881)	(74, 39.17629477640561)	(76, 39.15443456468536)	(78, 39.14609640297397)	(80, 39.139042090356085)	(82, 39.1325064738345)	(84, 39.12244849154808)	(86, 39.106110618013204)	(88, 39.11501566703523)	(90, 39.07449743242985)	(92, 39.074453650226985)	(94, 39.05237198929228)	(96, 39.05794592047492)	(98, 39.04875599407373)	(100, 39.06514036536592)
