Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
MCIC_FC_2024_111_1	(1, 39.10962842355992)	(2, 38.717034290110924)	(3, 38.609610868537686)	(4, 38.99447285824853)	(5, 38.958679672643065)	(6, 39.14152895397693)	(7, 39.245370603846254)	(8, 39.20672821533455)	(9, 39.284389444990445)	(10, 39.25592823981127)	(12, 39.268886399672866)	(14, 39.282228398955525)	(16, 39.40472606732939)	(18, 39.40104607869593)	(20, 39.42392518113114)	(22, 39.43678661825601)	(24, 39.42552782120615)	(26, 39.432418286089586)	(28, 39.431076656215076)	(30, 39.437427908495046)	(32, 39.437118141070826)	(34, 39.43730829367756)	(36, 39.414004655793185)	(38, 39.422806458871094)	(40, 39.42250854485155)	(42, 39.41893174787227)	(44, 39.41436367903559)	(46, 39.41726923491831)	(48, 39.40058466000552)	(50, 39.41782725098511)	(52, 39.41514335590484)	(54, 39.41355682768395)	(56, 39.41664703580849)	(58, 39.409540342386805)	(60, 39.41159417098436)	(62, 39.42316494843638)	(64, 39.413911977908604)	(66, 39.258353335109035)	(68, 39.42322531189522)	(70, 39.42525534532713)	(72, 39.428513781018914)	(74, 39.41636293906325)	(76, 39.43162604412117)	(78, 39.43297033334429)	(80, 39.42704731613908)	(82, 39.41815633002895)	(84, 39.404083087476096)	(86, 39.410605854669015)	(88, 39.41557829421177)	(90, 39.40772724884441)	(92, 39.08654135200496)	(94, 39.407041090350276)	(96, 39.39340336001309)	(98, 39.37661617785545)	(100, 39.55593703292843)
MCIC_FC_2024_111_2	(1, 39.181923379304386)	(2, 39.155477581871835)	(3, 38.76468454810591)	(4, 39.04682248170014)	(5, 39.02954250335347)	(6, 39.11224334671497)	(7, 39.15710358730723)	(8, 39.080724375846)	(9, 39.14042458348772)	(10, 39.11647077845717)	(12, 39.13209328912082)	(14, 39.161577062945376)	(16, 39.131443525311106)	(18, 39.13302165341315)	(20, 39.142101007718395)	(22, 39.150066710808986)	(24, 39.14843555088345)	(26, 39.16127685811465)	(28, 39.19330023676183)	(30, 39.168507780590545)	(32, 39.1714844373569)	(34, 39.1685876724019)	(36, 39.10969905926417)	(38, 39.121091466465074)	(40, 39.12083416766232)	(42, 39.121085269037046)	(44, 39.12297864466328)	(46, 39.127508170146484)	(48, 39.11261962731237)	(50, 38.921717773129004)	(52, 39.10549736029088)	(54, 39.08926712540496)	(56, 39.10197932794954)	(58, 39.09348184233184)	(60, 39.07701437283362)	(62, 39.09063381049525)	(64, 39.08270396744996)	(66, 39.068915275084876)	(68, 39.0799246811612)	(70, 39.06861282658965)	(72, 39.080014347679295)	(74, 39.0787326498649)	(76, 39.06673293323123)	(78, 39.060995155337906)	(80, 39.055060602999745)	(82, 39.05249292562771)	(84, 39.04263957785282)	(86, 39.02597817440496)	(88, 39.03714104957424)	(90, 39.0004972984339)	(92, 39.00375557552353)	(94, 38.99799834615759)	(96, 39.00488214745705)	(98, 39.04233956449304)	(100, 39.24850206248507)
MCIC_FD_2024_105_1	(1, 39.09478451950396)	(2, 38.71543461768674)	(3, 38.581464168619505)	(4, 38.98034009858688)	(5, 39.0058700245742)	(6, 39.20517698611573)	(7, 39.24321940842755)	(8, 39.231110936336435)	(9, 39.29115549922433)	(10, 39.28031424693071)	(12, 39.29344398741902)	(14, 39.29918114704566)	(16, 39.41741280068838)	(18, 39.42347983458353)	(20, 39.437151821308134)	(22, 39.446205609630525)	(24, 39.43877481477874)	(26, 39.446501754895685)	(28, 39.444273957537355)	(30, 39.44665419191378)	(32, 39.44636933888786)	(34, 39.44517782064841)	(36, 39.424228924150114)	(38, 39.43348342350938)	(40, 39.43305419982988)	(42, 39.432706775604125)	(44, 39.430588939845535)	(46, 39.42934025604447)	(48, 39.41463509129113)	(50, 39.427683489051205)	(52, 39.4282010925566)	(54, 39.424694501672846)	(56, 39.433193038789454)	(58, 39.424190412985055)	(60, 39.42507283456401)	(62, 39.43373420180271)	(64, 39.425613151111506)	(66, 39.2731371881754)	(68, 39.4377814723787)	(70, 39.44279614251539)	(72, 39.44535892358984)	(74, 39.43133274569071)	(76, 39.44936879531063)	(78, 39.44805996690937)	(80, 39.443083725326886)	(82, 39.43665355610776)	(84, 39.424046554462635)	(86, 39.42630026641696)	(88, 39.433336892348606)	(90, 39.42452089542769)	(92, 39.11038112499668)	(94, 39.426410275909106)	(96, 39.41465580988411)	(98, 39.40251508326635)	(100, 39.56437234006031)
MCIC_FD_2024_105_2	(1, 39.18971772675133)	(2, 39.13180986180572)	(3, 38.711794599012734)	(4, 38.98028999306667)	(5, 38.92953697923126)	(6, 39.049430957191504)	(7, 39.112137317668456)	(8, 39.03391282771899)	(9, 39.08311086404798)	(10, 39.068780607705506)	(12, 39.08706028043113)	(14, 39.115785480428556)	(16, 39.076987674740096)	(18, 39.084813288294214)	(20, 39.09919704562797)	(22, 39.113188875221454)	(24, 39.102745925901196)	(26, 39.12461933642517)	(28, 39.14670224857922)	(30, 39.12731195547374)	(32, 39.12602766782754)	(34, 39.122906307987805)	(36, 39.07690138208273)	(38, 39.083802358999804)	(40, 39.084686690055996)	(42, 39.07630093787557)	(44, 39.087972966523154)	(46, 39.08824004379136)	(48, 39.07333478278126)	(50, 38.896342777621)	(52, 39.06353465553161)	(54, 39.04931041734223)	(56, 39.06212256655272)	(58, 39.05727657727447)	(60, 39.046242314101406)	(62, 39.06026110117915)	(64, 39.04963692564496)	(66, 39.038864052430434)	(68, 39.05212202140564)	(70, 39.04408270509647)	(72, 39.0526123838908)	(74, 39.0489715994829)	(76, 39.0428268214072)	(78, 39.039701905065215)	(80, 39.03145746498923)	(82, 39.035504079679384)	(84, 39.02232829484539)	(86, 39.00370778831059)	(88, 39.016987423570534)	(90, 38.98613589372151)	(92, 38.98819814592891)	(94, 38.98275219128877)	(96, 38.98981460770716)	(98, 39.035678510588596)	(100, 39.24575670695353)
MCIC_FD_2024_204_1	(1, 39.138268027678066)	(2, 38.74664119100963)	(3, 38.54551955624177)	(4, 38.99650007600928)	(5, 39.01176099184102)	(6, 39.1716521795723)	(7, 39.266111272735394)	(8, 39.242846700687096)	(9, 39.30223302163861)	(10, 39.28479634611471)	(12, 39.28082667017653)	(14, 39.287970280127)	(16, 39.407831044717256)	(18, 39.417792000714925)	(20, 39.44711415283754)	(22, 39.44465961330982)	(24, 39.43945637948279)	(26, 39.43392954089245)	(28, 39.433927661829316)	(30, 39.44374464870375)	(32, 39.43912459912675)	(34, 39.44064002935356)	(36, 39.40710507701215)	(38, 39.419676578540944)	(40, 39.43169200070673)	(42, 39.42690060635664)	(44, 39.406546104082)	(46, 39.41527713884882)	(48, 39.39574062594728)	(50, 39.412171497103145)	(52, 39.40790027945364)	(54, 39.40134072383414)	(56, 39.39178086216581)	(58, 39.38805571569479)	(60, 39.39877898128198)	(62, 39.41061447950785)	(64, 39.40547083812223)	(66, 39.24268798866595)	(68, 39.39654051612834)	(70, 39.404737581540076)	(72, 39.41648530589228)	(74, 39.39580861392936)	(76, 39.414585283490226)	(78, 39.41878734161659)	(80, 39.41131945735476)	(82, 39.39969075767007)	(84, 39.3826467109739)	(86, 39.39587218118137)	(88, 39.4068046913769)	(90, 39.40059826497662)	(92, 39.077374291837174)	(94, 39.39460027233619)	(96, 39.3808064889744)	(98, 39.36307627623644)	(100, 39.5447458783624)
MCIC_FD_2024_204_2	(1, 39.18455005660628)	(2, 39.111590468775724)	(3, 38.73354136726375)	(4, 39.001601683180674)	(5, 38.955098765929776)	(6, 39.07793870591887)	(7, 39.133822480195086)	(8, 39.05910783070474)	(9, 39.13568439196701)	(10, 39.09867675849786)	(12, 39.128346703358346)	(14, 39.1500865243067)	(16, 39.12532692491691)	(18, 39.13013382005178)	(20, 39.14095106464593)	(22, 39.15118629620362)	(24, 39.156332780266126)	(26, 39.17357488621387)	(28, 39.19117625476544)	(30, 39.170076861104235)	(32, 39.16159211378576)	(34, 39.1571922335209)	(36, 39.11266469988705)	(38, 39.114320935220476)	(40, 39.11544477318644)	(42, 39.115277894308555)	(44, 39.11214023883282)	(46, 39.11018692918648)	(48, 39.10269234151528)	(50, 38.91960693961482)	(52, 39.09625244095873)	(54, 39.085358329346334)	(56, 39.09332508513792)	(58, 39.08796735377444)	(60, 39.07458928367805)	(62, 39.08529306464399)	(64, 39.078269119011225)	(66, 39.05961789360622)	(68, 39.06659873479141)	(70, 39.05716904499312)	(72, 39.07284520790647)	(74, 39.05542693639366)	(76, 39.05699202126219)	(78, 39.05067332760185)	(80, 39.043932433131054)	(82, 39.047104048367586)	(84, 39.0389396055087)	(86, 39.02622396693639)	(88, 39.02678505198126)	(90, 38.99966265549708)	(92, 39.00084429677767)	(94, 38.99285929657138)	(96, 38.99304460815107)	(98, 39.04176938320653)	(100, 39.24270774226049)
MCIC_MD_2024_109_1	(1, 39.09339113672511)	(2, 38.75431996499854)	(3, 38.607774382994315)	(4, 38.999773198377575)	(5, 38.989528722095564)	(6, 39.154028204741145)	(7, 39.23419008957553)	(8, 39.232826751589194)	(9, 39.28541369152094)	(10, 39.255826171006674)	(12, 39.262240345816025)	(14, 39.26866829523861)	(16, 39.39845017293024)	(18, 39.407723451797764)	(20, 39.4227042877188)	(22, 39.43218324532755)	(24, 39.42344807365076)	(26, 39.43412714247899)	(28, 39.433995823556984)	(30, 39.441554796589244)	(32, 39.43719544882807)	(34, 39.43503674061655)	(36, 39.408664899749326)	(38, 39.42164353353415)	(40, 39.42332681623131)	(42, 39.416838365889134)	(44, 39.412252542311876)	(46, 39.41462731695853)	(48, 39.40513480794874)	(50, 39.41874960854954)	(52, 39.41915289882657)	(54, 39.40979850418104)	(56, 39.41540342991584)	(58, 39.4076919392317)	(60, 39.41232429033789)	(62, 39.42299334815635)	(64, 39.414032558996134)	(66, 39.25996324186471)	(68, 39.42326755437742)	(70, 39.42810362180762)	(72, 39.43415368073663)	(74, 39.4194158463952)	(76, 39.436324013749626)	(78, 39.43259933148873)	(80, 39.431103807097344)	(82, 39.424137744097706)	(84, 39.412351777723565)	(86, 39.415286742050014)	(88, 39.42111114552134)	(90, 39.40763200168516)	(92, 39.097434478650584)	(94, 39.409549209116655)	(96, 39.40023526105958)	(98, 39.38713010907706)	(100, 39.56104980818877)
MCIC_MD_2024_109_2	(1, 39.182145067339334)	(2, 39.14953027043184)	(3, 38.71912051012449)	(4, 39.03519731893718)	(5, 39.00041293326335)	(6, 39.08519532902865)	(7, 39.13765725126808)	(8, 39.065229463043345)	(9, 39.120800960631065)	(10, 39.105975117730445)	(12, 39.11490586207)	(14, 39.14741421085873)	(16, 39.118505482361456)	(18, 39.11934800047758)	(20, 39.130780479658995)	(22, 39.14010296089212)	(24, 39.13614360669946)	(26, 39.16221475463991)	(28, 39.17595950652405)	(30, 39.15709228365421)	(32, 39.15975723391172)	(34, 39.15759410080628)	(36, 39.106028164021524)	(38, 39.109074428675534)	(40, 39.109281370669436)	(42, 39.105120226085184)	(44, 39.11534539363524)	(46, 39.11744817757004)	(48, 39.0983245792686)	(50, 38.91871533742095)	(52, 39.08996085896488)	(54, 39.076765621445716)	(56, 39.08653148667571)	(58, 39.08502989306852)	(60, 39.06841073189402)	(62, 39.0812775796154)	(64, 39.077236415497964)	(66, 39.06661589326317)	(68, 39.07860283167213)	(70, 39.074078805100896)	(72, 39.07478807492606)	(74, 39.0736712118932)	(76, 39.069703229362474)	(78, 39.06421055647863)	(80, 39.0544960756376)	(82, 39.05701881730407)	(84, 39.04429471797532)	(86, 39.0299703656834)	(88, 39.03804765948988)	(90, 39.00551238590573)	(92, 39.01253156589192)	(94, 39.00998464282126)	(96, 39.00676722369445)	(98, 39.05388575007051)	(100, 39.26338590699797)
MCIC_MD_2024_113_1	(1, 39.09012387260221)	(2, 38.84888822301196)	(3, 38.58296015152917)	(4, 39.04492228198807)	(5, 39.09211061225258)	(6, 39.24380164431776)	(7, 39.33030265426953)	(8, 39.293320728288094)	(9, 39.33452046730827)	(10, 39.33584317456382)	(12, 39.340517208041085)	(14, 39.3540481508754)	(16, 39.48184216621553)	(18, 39.48781604310567)	(20, 39.50632269431909)	(22, 39.50082725069883)	(24, 39.50131576522304)	(26, 39.49752318503922)	(28, 39.49541906548761)	(30, 39.50141007284731)	(32, 39.50981243058418)	(34, 39.50419124043307)	(36, 39.477386426546786)	(38, 39.49315375724055)	(40, 39.50326652344965)	(42, 39.505582546421635)	(44, 39.50004400733404)	(46, 39.49904727246733)	(48, 39.484051906377765)	(50, 39.50402283232946)	(52, 39.50586664313637)	(54, 39.5085793645447)	(56, 39.503407002956834)	(58, 39.48429033551183)	(60, 39.49887054616099)	(62, 39.50738831652134)	(64, 39.49023201670408)	(66, 39.33609312040046)	(68, 39.50312715303594)	(70, 39.51289196328466)	(72, 39.51454030806704)	(74, 39.502582917502174)	(76, 39.51980070142343)	(78, 39.52526860156295)	(80, 39.50681685215048)	(82, 39.50175865118719)	(84, 39.4947528968157)	(86, 39.503926610549584)	(88, 39.51067914419812)	(90, 39.5067020996114)	(92, 39.15380010793684)	(94, 39.50276027948122)	(96, 39.48667651461764)	(98, 39.4509894605785)	(100, 39.625409083633485)
MCIC_MD_2024_113_2	(1, 39.24987776710505)	(2, 39.269555008877475)	(3, 38.941698672587926)	(4, 39.118114120833745)	(5, 39.125881488855704)	(6, 39.22516731069634)	(7, 39.241446819437634)	(8, 39.21044948541451)	(9, 39.24567549846101)	(10, 39.227663468835054)	(12, 39.25640973303973)	(14, 39.301120015139944)	(16, 39.2685684680218)	(18, 39.24742748756816)	(20, 39.25829250606122)	(22, 39.268132307951134)	(24, 39.27164571111585)	(26, 39.26978821327056)	(28, 39.33330987895791)	(30, 39.309710660330296)	(32, 39.301307186062274)	(34, 39.2929156497572)	(36, 39.224943253963836)	(38, 39.252390163056035)	(40, 39.25259531098099)	(42, 39.2601607557969)	(44, 39.24750390987603)	(46, 39.24529098806461)	(48, 39.246081097909624)	(50, 39.03104119051004)	(52, 39.23134858105843)	(54, 39.21085049224699)	(56, 39.232040997559466)	(58, 39.229798000562695)	(60, 39.21280819071849)	(62, 39.22957533081936)	(64, 39.2168364259251)	(66, 39.19313964788414)	(68, 39.20353626106704)	(70, 39.19268296563856)	(72, 39.21720301287802)	(74, 39.21343590318491)	(76, 39.1939522476618)	(78, 39.18716282529532)	(80, 39.18235042565793)	(82, 39.17794618368266)	(84, 39.169828237713986)	(86, 39.155331545717516)	(88, 39.16712283028124)	(90, 39.130011310261764)	(92, 39.132796152006534)	(94, 39.116176330183364)	(96, 39.13265380901783)	(98, 39.16332312666258)	(100, 39.343618008054)
