Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
MCIC_FC_2024_111_1	(1, 0.23140950396178325)	(2, 0.23180948896234574)	(3, 0.2308277075973287)	(4, 0.23082316231323144)	(5, 0.23081861702913412)	(6, 0.23081861702913412)	(7, 0.23081861702913412)	(8, 0.23081861702913412)	(9, 0.23081861702913412)	(10, 0.23081861702913412)	(12, 0.23081861702913412)	(14, 0.23081861702913412)	(16, 0.23081861702913412)	(18, 0.23081861702913412)	(20, 0.23081861702913412)	(22, 0.23082543495528007)	(24, 0.2308708877962531)	(26, 0.2309390670577126)	(28, 0.23107542558063163)	(30, 0.23132996149008048)	(32, 0.2316367681666483)	(34, 0.23212538620710813)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.3922975328273979)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.783766424731499)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_FC_2024_111_2	(1, 0.2327140004977086)	(2, 0.2327140004977086)	(3, 0.2327140004977086)	(4, 0.2327140004977086)	(5, 0.2327140004977086)	(6, 0.2327140004977086)	(7, 0.2327140004977086)	(8, 0.2327140004977086)	(9, 0.2327140004977086)	(10, 0.2327140004977086)	(12, 0.2327140004977086)	(14, 0.2327140004977086)	(16, 0.2327140004977086)	(18, 0.2327140004977086)	(20, 0.2327140004977086)	(22, 0.23272309106590322)	(24, 0.23276627126482757)	(26, 0.23283217788423843)	(28, 0.23297308169125475)	(30, 0.23323216288480092)	(32, 0.2336048761807796)	(34, 0.23402304231773127)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.39905819631546846)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.127634543386887e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 5.0381852072149475e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 9.293042912112534e-06)	(88, 2.331796011313688e-06)	(90, 9.366789350531883e-06)	(92, 5.882774424661719e-05)	(94, 0.0)	(96, 9.52756134135773e-06)	(98, 0.0)	(100, 0.00010285751176122706)
MCIC_FD_2024_105_1	(1, 0.09595426520617917)	(2, 0.09608972822982455)	(3, 0.09523437599480658)	(4, 0.09523437599480658)	(5, 0.09523437599480658)	(6, 0.09523824636691074)	(7, 0.09523437599480658)	(8, 0.09523437599480658)	(9, 0.09523437599480658)	(10, 0.09523437599480658)	(12, 0.09523437599480658)	(14, 0.09523437599480658)	(16, 0.09523437599480658)	(18, 0.09523437599480658)	(20, 0.09523437599480658)	(22, 0.09523824636691074)	(24, 0.09525179266927528)	(26, 0.09528275564610851)	(28, 0.09536209827424366)	(30, 0.09554013539103473)	(32, 0.09586137627567949)	(34, 0.09626195978845939)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.1639113458039193e-05)	(64, 0.0)	(66, 0.3927218806784097)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.5391757710441612e-05)	(80, 0.0)	(82, 5.881458498193883e-06)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7603958054328799)	(94, 0.0)	(96, 0.0)	(98, 1.4372900889156928e-05)	(100, 0.0)
MCIC_FD_2024_105_2	(1, 0.09606263562509547)	(2, 0.09606263562509547)	(3, 0.09606650599719962)	(4, 0.09606263562509547)	(5, 0.09606263562509547)	(6, 0.09606263562509547)	(7, 0.09606263562509547)	(8, 0.09606263562509547)	(9, 0.09606263562509547)	(10, 0.09606263562509547)	(12, 0.09606263562509547)	(14, 0.09606263562509547)	(16, 0.09606263562509547)	(18, 0.09606263562509547)	(20, 0.09606263562509547)	(22, 0.09606457081114755)	(24, 0.09607618192746002)	(26, 0.09610908009034531)	(28, 0.09619035790453255)	(30, 0.09636645983527155)	(32, 0.09673414518516615)	(34, 0.09708828423269622)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.3804250600917676)	(52, 0.0)	(54, 0.0)	(56, 1.938340985580488e-06)	(58, 0.0)	(60, 4.2662395669596194e-05)	(62, 0.00020174887173398404)	(64, 0.0)	(66, 5.825179263581226e-06)	(68, 2.3314110525398052e-05)	(70, 0.0)	(72, 0.00023934589685242633)	(74, 9.73978849893438e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.764639967860024e-05)	(84, 9.827620007131708e-06)	(86, 0.00048496125297585826)	(88, 1.9781607101280442e-06)	(90, 0.0001688131423215938)	(92, 2.394212613502138e-05)	(94, 0.0)	(96, 0.00031896848659991177)	(98, 0.0)	(100, 0.000696445525178866)
MCIC_FD_2024_204_1	(1, 0.5782260573080439)	(2, 0.578457581184209)	(3, 0.5775025451950282)	(4, 0.5775025451950282)	(5, 0.5775025451950282)	(6, 0.577507368609115)	(7, 0.5775025451950282)	(8, 0.5775025451950282)	(9, 0.5775025451950282)	(10, 0.5775025451950282)	(12, 0.5775025451950282)	(14, 0.5775025451950282)	(16, 0.5775025451950282)	(18, 0.5775025451950282)	(20, 0.5775025451950282)	(22, 0.5775049569020716)	(24, 0.5775435442147657)	(26, 0.5776448359105879)	(28, 0.5777316573641499)	(30, 0.5779776514825752)	(32, 0.5784214055785581)	(34, 0.5789640396633199)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.3917973908732695)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7578933884653858)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_FD_2024_204_2	(1, 0.5826973621664808)	(2, 0.5826973621664808)	(3, 0.5826973621664808)	(4, 0.5826973621664808)	(5, 0.5826973621664808)	(6, 0.5826973621664808)	(7, 0.5826973621664808)	(8, 0.5826973621664808)	(9, 0.5826973621664808)	(10, 0.5826973621664808)	(12, 0.5826973621664808)	(14, 0.5826973621664808)	(16, 0.5826973621664808)	(18, 0.5826973621664808)	(20, 0.5826973621664808)	(22, 0.5826997738735242)	(24, 0.5827383611862184)	(26, 0.5828444762961273)	(28, 0.5829264743356024)	(30, 0.5831604099188109)	(32, 0.5836331044993144)	(34, 0.5841106224939048)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.3801756271768244)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.776385939701272e-05)	(64, 0.0)	(66, 0.0)	(68, 4.868848438225573e-06)	(70, 0.0)	(72, 9.999789760517718e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.761195058274143e-05)	(94, 0.0)	(96, 7.631338386161189e-06)	(98, 0.0)	(100, 0.00010242046115004671)
MCIC_MD_2024_109_1	(1, 0.26097795957845143)	(2, 0.26129503357444417)	(3, 0.2604263376950119)	(4, 0.2604350246538062)	(5, 0.2604263376950119)	(6, 0.26043068117440904)	(7, 0.2604263376950119)	(8, 0.2604263376950119)	(9, 0.2604263376950119)	(10, 0.2604263376950119)	(12, 0.2604263376950119)	(14, 0.2604263376950119)	(16, 0.2604263376950119)	(18, 0.2604263376950119)	(20, 0.2604263376950119)	(22, 0.26043068117440904)	(24, 0.26045674205079206)	(26, 0.2604958333653665)	(28, 0.26062613774728133)	(30, 0.2608389682377422)	(32, 0.2612211944246925)	(34, 0.2618010489242136)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.39293291446454837)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.7584064659787001)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_MD_2024_109_2	(1, 0.26250252084685516)	(2, 0.26250252084685516)	(3, 0.26250252084685516)	(4, 0.26250252084685516)	(5, 0.26250252084685516)	(6, 0.26250252084685516)	(7, 0.26250252084685516)	(8, 0.26250252084685516)	(9, 0.26250252084685516)	(10, 0.26250252084685516)	(12, 0.26250252084685516)	(14, 0.26250252084685516)	(16, 0.26250252084685516)	(18, 0.26250252084685516)	(20, 0.26250252084685516)	(22, 0.2625068643262523)	(24, 0.26253292520263527)	(26, 0.26257201651720974)	(28, 0.262700149159426)	(30, 0.26290863617048976)	(32, 0.2633516710690002)	(34, 0.263870716856961)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.3759264532765485)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00012432062323629658)	(64, 0.0)	(66, 0.0)	(68, 4.369371553071053e-06)	(70, 0.0)	(72, 9.191029843733454e-05)	(74, 4.381615582286916e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.00017966060514704567)	(88, 1.112916632861824e-05)	(90, 1.3409464525216901e-05)	(92, 3.816957060759849e-05)	(94, 0.0)	(96, 1.1358856608406712e-05)	(98, 0.0)	(100, 0.0001346624872114549)
MCIC_MD_2024_113_1	(1, 0.11705530826598093)	(2, 0.1172925596387814)	(3, 0.1163812130956431)	(4, 0.11637744720083676)	(5, 0.1163736813060304)	(6, 0.11637744720083676)	(7, 0.11639627667486853)	(8, 0.1163736813060304)	(9, 0.1163736813060304)	(10, 0.1163736813060304)	(12, 0.1163736813060304)	(14, 0.1163736813060304)	(16, 0.1163736813060304)	(18, 0.1163736813060304)	(20, 0.1163736813060304)	(22, 0.11639627667486853)	(24, 0.11639627667486853)	(26, 0.11642263793851303)	(28, 0.11653184888789737)	(30, 0.11672767541782791)	(32, 0.1170590741607873)	(34, 0.1175354598537914)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.554476272712061e-06)	(64, 0.0)	(66, 0.387743533290399)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.852003923137912)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
MCIC_MD_2024_113_2	(1, 0.1172661983751369)	(2, 0.1172661983751369)	(3, 0.1172661983751369)	(4, 0.1172661983751369)	(5, 0.1172661983751369)	(6, 0.1172661983751369)	(7, 0.1172661983751369)	(8, 0.1172661983751369)	(9, 0.1172661983751369)	(10, 0.1172661983751369)	(12, 0.1172661983751369)	(14, 0.1172661983751369)	(16, 0.1172661983751369)	(18, 0.1172661983751369)	(20, 0.1172661983751369)	(22, 0.11727373016474961)	(24, 0.1172925596387814)	(26, 0.1173170379550227)	(28, 0.11742624890440706)	(30, 0.11762584132914396)	(32, 0.1180212602838114)	(34, 0.11844868934433286)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.42112388245839644)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 1.3210286933471182e-05)	(60, 0.0)	(62, 0.00018320074132463276)	(64, 0.0)	(66, 0.0)	(68, 1.1353268335367523e-05)	(70, 0.0)	(72, 0.0001402831102737094)	(74, 3.796059079509957e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 4.409559587759093e-05)	(86, 0.00021733800259990106)	(88, 0.0)	(90, 7.172713215443007e-05)	(92, 5.06531884506678e-05)	(94, 6.660982758653454e-05)	(96, 0.00017950494233324825)	(98, 3.0141989871688566e-05)	(100, 0.0004054799061114964)
