Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MCIC_FC_2024_111_1	(1.0, 12.781024936347862)	(2.0, 6.918814822555635)	(3.0, 4.508811327063934)	(4.0, 3.322687571360894)	(5.0, 2.6046793004737303)	(6.0, 2.143917883728758)	(7.0, 1.835797353677168)	(8.0, 1.5343857773330243)	(9.0, 1.2828898406247886)	('>10', 16.170183477138988)	('>50', 5.149839914660578)	('>100', 12.01623548018857)	('>500', 6.04424475345949)	('>1k', 14.15422624735112)	('>5k', 5.241016480095211)	('>10k+', 4.2912448339402065)
MCIC_FC_2024_111_2	(1.0, 12.883158515516849)	(2.0, 6.938541660964918)	(3.0, 4.861982661870553)	(4.0, 3.6166931108340856)	(5.0, 2.804429062738535)	(6.0, 2.179642260599122)	(7.0, 1.8411175006530955)	(8.0, 1.4758961881383756)	(9.0, 1.3273453429825308)	('>10', 14.86474038835003)	('>50', 4.686661892976908)	('>100', 12.675254201826197)	('>500', 7.35411618291171)	('>1k', 16.32439350581745)	('>5k', 3.7884696283639814)	('>10k+', 2.3775578954556202)
MCIC_FD_2024_105_1	(1.0, 13.137161827295355)	(2.0, 7.569105103451745)	(3.0, 5.4809528937468075)	(4.0, 4.1693782072825245)	(5.0, 3.436686256241662)	(6.0, 2.7498872491001647)	(7.0, 2.469595481266869)	(8.0, 2.1530543721575195)	(9.0, 1.882225241655385)	('>10', 21.007268084725695)	('>50', 5.033423627097235)	('>100', 8.9543206053991)	('>500', 4.092238062063198)	('>1k', 10.174139444307132)	('>5k', 4.116971121780058)	('>10k+', 3.573592422429577)
MCIC_FD_2024_105_2	(1.0, 13.333043282605233)	(2.0, 7.630698966983555)	(3.0, 6.012314257191755)	(4.0, 4.673511624714922)	(5.0, 3.830565285793412)	(6.0, 3.1227687929417787)	(7.0, 2.635807978997481)	(8.0, 2.2383893876657472)	(9.0, 1.8804417864841623)	('>10', 19.48299575429721)	('>50', 4.2911314680183175)	('>100', 8.73656604452768)	('>500', 4.92617279945138)	('>1k', 12.104777757987737)	('>5k', 3.159079042595915)	('>10k+', 1.9417357697440252)
MCIC_FD_2024_204_1	(1.0, 11.733170310099682)	(2.0, 5.65817438021947)	(3.0, 3.3632351128237694)	(4.0, 2.280526728357215)	(5.0, 1.7030488182636652)	(6.0, 1.333175416338687)	(7.0, 1.1861619027965653)	(8.0, 0.9690857405106574)	(9.0, 0.9050532502105983)	('>10', 12.203815101413184)	('>50', 4.984503450299858)	('>100', 13.852638835457617)	('>500', 7.642768730510219)	('>1k', 19.625590710495192)	('>5k', 7.145864797810951)	('>10k+', 5.413186714392651)
MCIC_FD_2024_204_2	(1.0, 12.404589069980435)	(2.0, 5.532790805217873)	(3.0, 3.2900398075031143)	(4.0, 2.3056747294428566)	(5.0, 1.6869891704406677)	(6.0, 1.3481847520856913)	(7.0, 1.0993518446847024)	(8.0, 0.9360669054384978)	(9.0, 0.8649298434873812)	('>10', 10.801403727634085)	('>50', 4.697817747978921)	('>100', 15.760913383231728)	('>500', 9.928877332338908)	('>1k', 22.259345071946164)	('>5k', 5.055480217180288)	('>10k+', 2.027545591408747)
MCIC_MD_2024_109_1	(1.0, 14.550717408838103)	(2.0, 8.38028181158665)	(3.0, 5.9493613671742125)	(4.0, 4.785643862334107)	(5.0, 3.732644501031089)	(6.0, 3.2282482713012546)	(7.0, 2.705704946079903)	(8.0, 2.325737459940583)	(9.0, 2.0369514949452063)	('>10', 24.364325980849323)	('>50', 6.532994280009287)	('>100', 10.276530711718392)	('>500', 3.3627260924074704)	('>1k', 6.380590661599229)	('>5k', 1.2011055646746682)	('>10k+', 0.1864355855106497)
MCIC_MD_2024_109_2	(1.0, 14.051681920129539)	(2.0, 8.283018501005945)	(3.0, 6.403460231416028)	(4.0, 5.108640756225405)	(5.0, 4.094027056884133)	(6.0, 3.411974578092352)	(7.0, 2.8210135663330806)	(8.0, 2.536356373141966)	(9.0, 2.111820921485518)	('>10', 23.666549787949435)	('>50', 6.126131464831581)	('>100', 10.6454930822453)	('>500', 3.7001547199914455)	('>1k', 5.971900223926474)	('>5k', 0.7945059721033076)	('>10k+', 0.2732708442384787)
MCIC_MD_2024_113_1	(1.0, 8.316701752020943)	(2.0, 4.069455806169043)	(3.0, 2.5440972742129073)	(4.0, 1.7912715917707052)	(5.0, 1.4023067563736147)	(6.0, 1.1363519876920676)	(7.0, 0.9514290640752898)	(8.0, 0.826737495265193)	(9.0, 0.7039933992509749)	('>10', 9.373239829844165)	('>50', 3.636739747697198)	('>100', 10.46250930670449)	('>500', 6.594821943074456)	('>1k', 19.737016089838882)	('>5k', 10.606673886487803)	('>10k+', 17.84665406952226)
MCIC_MD_2024_113_2	(1.0, 8.71976924942311)	(2.0, 4.141403052443589)	(3.0, 2.673977706875098)	(4.0, 1.9039086972180794)	(5.0, 1.395314884056287)	(6.0, 1.1545862662535515)	(7.0, 0.9250580664918922)	(8.0, 0.7639035168916847)	(9.0, 0.6437453117981209)	('>10', 8.208736336349691)	('>50', 2.9296815030143657)	('>100', 10.406805455272986)	('>500', 7.576704982594093)	('>1k', 25.600541539306537)	('>5k', 11.294005531132813)	('>10k+', 11.661857900878143)
MCIC_MD_2024_116_1	(1.0, 10.022327333643275)	(2.0, 5.572093007311949)	(3.0, 3.5953414910955925)	(4.0, 2.6674712023523983)	(5.0, 2.088327179882236)	(6.0, 1.661862561626152)	(7.0, 1.4531381116183417)	(8.0, 1.2269241589730344)	(9.0, 1.100691613963322)	('>10', 13.760994042517174)	('>50', 4.667221127925228)	('>100', 11.673624727276229)	('>500', 6.141090691633995)	('>1k', 15.88946359999941)	('>5k', 7.599181420043648)	('>10k+', 10.880247730137954)
