Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
MCIC_FC_2024_111_1 - Adapter 1	(1, 0.3210997798591624)	(2, 0.3360615703439783)	(3, 0.30955347421144047)	(4, 0.006411397626502926)	(5, 0.13893284679686482)	(6, 0.18561614506730215)	(7, 0.2956508787607983)	(8, 0.16979445933869527)	(9, 4.266984505363528)	(10, 13.333333333333334)	(11, 56.15384615384615)	(12, 42.30769230769231)	(13, 293.8461538461538)	(14, 24.615384615384613)	(15, 301.53846153846155)	(16, 590.7692307692307)	(17, 115.38461538461539)	(18, 403.8461538461538)	(19, 275.38461538461536)	(20, 104.61538461538461)	(21, 296.15384615384613)	(22, 292.3076923076923)	(23, 441.53846153846155)	(24, 240.76923076923077)	(25, 219.23076923076923)	(26, 78.46153846153845)	(27, 271.53846153846155)	(28, 53.84615384615385)	(29, 180.0)	(30, 135.3846153846154)	(31, 169.23076923076923)	(32, 195.3846153846154)	(33, 105.38461538461539)	(34, 100.76923076923076)	(35, 34.61538461538461)	(36, 86.15384615384615)	(37, 118.46153846153845)	(38, 30.0)	(39, 68.46153846153845)	(40, 50.76923076923077)	(41, 46.92307692307692)	(42, 51.53846153846154)	(43, 50.76923076923077)	(44, 46.15384615384615)	(45, 83.84615384615384)	(46, 13.846153846153845)	(47, 27.69230769230769)	(48, 12.307692307692307)	(49, 37.69230769230769)	(50, 34.61538461538461)	(51, 29.23076923076923)	(52, 18.46153846153846)	(53, 20.0)	(54, 10.0)	(55, 8.461538461538462)	(56, 5.384615384615384)	(57, 5.384615384615384)	(58, 8.461538461538462)	(59, 1.5384615384615383)	(60, 5.384615384615384)	(61, 8.461538461538462)	(62, 6.9230769230769225)	(63, 0.7692307692307692)	(64, 10.0)	(65, 7.692307692307692)	(66, 8.461538461538462)	(67, 0.7692307692307692)	(68, 11.538461538461538)	(69, 6.153846153846153)	(70, 6.9230769230769225)	(71, 9.23076923076923)	(72, 6.9230769230769225)	(73, 5.384615384615384)	(74, 7.692307692307692)	(75, 8.461538461538462)	(76, 3.0769230769230766)	(77, 9.23076923076923)	(78, 10.769230769230768)	(79, 6.153846153846153)	(80, 0.7692307692307692)	(81, 15.384615384615383)	(82, 11.538461538461538)	(83, 2.3076923076923075)	(84, 1.5384615384615383)	(85, 12.307692307692307)	(86, 13.076923076923077)	(87, 14.615384615384615)	(88, 6.153846153846153)	(89, 22.307692307692307)	(90, 0.7692307692307692)	(91, 6.9230769230769225)	(92, 6.9230769230769225)	(93, 11.538461538461538)	(94, 6.153846153846153)	(95, 4.615384615384615)	(96, 4.615384615384615)	(97, 7.692307692307692)	(98, 13.076923076923077)	(99, 11.538461538461538)	(100, 33.84615384615385)	(101, 1156.923076923077)
MCIC_FC_2024_111_2 - Adapter 1	(1, 0.3463421062286719)	(2, 0.2945242200365426)	(3, 0.3270888161578809)	(4, 0.017756429724216816)	(5, 0.3784000148939735)	(6, 0.3353005790032208)	(7, 0.23681858802502234)	(8, 0.10723860589812333)	(9, 3.873659117997616)	(10, 8.666666666666666)	(11, 40.76923076923077)	(12, 81.53846153846153)	(13, 190.76923076923077)	(14, 92.3076923076923)	(15, 191.53846153846152)	(16, 150.76923076923077)	(17, 640.0)	(18, 354.6153846153846)	(19, 136.9230769230769)	(20, 103.07692307692308)	(21, 50.0)	(22, 201.53846153846152)	(23, 75.38461538461539)	(24, 181.53846153846152)	(25, 55.38461538461538)	(26, 73.84615384615384)	(27, 100.76923076923076)	(28, 113.07692307692307)	(29, 76.15384615384615)	(30, 64.61538461538461)	(31, 95.38461538461539)	(32, 39.230769230769226)	(33, 72.3076923076923)	(34, 108.46153846153845)	(35, 32.30769230769231)	(36, 37.69230769230769)	(37, 50.0)	(38, 32.30769230769231)	(39, 59.230769230769226)	(40, 19.23076923076923)	(41, 48.46153846153846)	(42, 72.3076923076923)	(43, 29.23076923076923)	(44, 13.076923076923077)	(45, 53.84615384615385)	(46, 18.46153846153846)	(47, 25.384615384615383)	(48, 23.076923076923077)	(49, 48.46153846153846)	(50, 19.23076923076923)	(51, 22.307692307692307)	(52, 19.23076923076923)	(53, 10.769230769230768)	(54, 16.923076923076923)	(55, 19.23076923076923)	(56, 12.307692307692307)	(57, 23.846153846153847)	(58, 10.769230769230768)	(59, 13.846153846153845)	(60, 17.692307692307693)	(61, 16.153846153846153)	(62, 43.07692307692307)	(63, 10.769230769230768)	(64, 16.153846153846153)	(65, 37.69230769230769)	(66, 16.153846153846153)	(67, 10.0)	(68, 30.769230769230766)	(69, 15.384615384615383)	(70, 35.38461538461539)	(71, 6.153846153846153)	(72, 30.769230769230766)	(73, 22.307692307692307)	(74, 13.846153846153845)	(75, 14.615384615384615)	(76, 22.307692307692307)	(77, 53.07692307692307)	(78, 33.07692307692307)	(79, 16.923076923076923)	(80, 27.69230769230769)	(81, 13.846153846153845)	(82, 8.461538461538462)	(83, 8.461538461538462)	(84, 35.38461538461539)	(85, 23.076923076923077)	(86, 12.307692307692307)	(87, 26.923076923076923)	(88, 16.153846153846153)	(89, 9.23076923076923)	(90, 16.923076923076923)	(91, 6.153846153846153)	(92, 9.23076923076923)	(93, 19.23076923076923)	(94, 24.615384615384613)	(95, 19.23076923076923)	(96, 14.615384615384615)	(97, 10.0)	(98, 13.076923076923077)	(99, 10.769230769230768)	(100, 31.538461538461537)	(101, 783.0769230769231)
MCIC_FD_2024_105_1 - Adapter 1	(1, 0.32471013389753656)	(2, 0.3449715320196196)	(3, 0.31069733569807884)	(4, 0.006905981551022026)	(5, 0.11715421473780997)	(6, 0.18326225843783195)	(7, 0.40266328471781865)	(8, 0.11161846778285135)	(9, 4.239350912778905)	(10, 11.016260162601625)	(11, 45.483870967741936)	(12, 43.333333333333336)	(13, 280.0)	(14, 24.666666666666668)	(15, 250.66666666666666)	(16, 611.3333333333334)	(17, 103.33333333333333)	(18, 436.6666666666667)	(19, 242.0)	(20, 103.33333333333333)	(21, 288.0)	(22, 240.66666666666666)	(23, 392.0)	(24, 224.0)	(25, 197.33333333333334)	(26, 92.66666666666667)	(27, 284.6666666666667)	(28, 41.333333333333336)	(29, 146.0)	(30, 124.66666666666667)	(31, 130.0)	(32, 181.33333333333334)	(33, 59.333333333333336)	(34, 97.33333333333333)	(35, 107.33333333333333)	(36, 98.66666666666667)	(37, 85.33333333333333)	(38, 71.33333333333333)	(39, 60.0)	(40, 59.333333333333336)	(41, 56.0)	(42, 40.0)	(43, 44.0)	(44, 39.333333333333336)	(45, 78.66666666666667)	(46, 29.333333333333332)	(47, 33.333333333333336)	(48, 15.333333333333334)	(49, 52.666666666666664)	(50, 11.333333333333334)	(51, 22.0)	(52, 18.666666666666668)	(53, 12.0)	(54, 4.0)	(55, 5.333333333333333)	(56, 6.666666666666667)	(57, 12.0)	(58, 14.666666666666666)	(59, 1.3333333333333333)	(60, 9.333333333333334)	(61, 6.666666666666667)	(62, 6.666666666666667)	(63, 7.333333333333333)	(64, 16.0)	(65, 22.0)	(66, 10.0)	(67, 4.666666666666667)	(68, 11.333333333333334)	(69, 4.666666666666667)	(70, 12.0)	(71, 6.666666666666667)	(72, 11.333333333333334)	(73, 4.0)	(74, 4.666666666666667)	(75, 2.6666666666666665)	(76, 3.3333333333333335)	(77, 11.333333333333334)	(78, 25.333333333333332)	(79, 4.666666666666667)	(80, 4.666666666666667)	(81, 24.666666666666668)	(82, 15.333333333333334)	(83, 12.666666666666666)	(84, 9.333333333333334)	(85, 16.0)	(86, 19.333333333333332)	(87, 10.666666666666666)	(88, 8.666666666666666)	(89, 38.0)	(90, 6.666666666666667)	(91, 12.666666666666666)	(92, 4.0)	(93, 6.666666666666667)	(94, 7.333333333333333)	(95, 3.3333333333333335)	(96, 6.666666666666667)	(97, 14.666666666666666)	(98, 10.0)	(99, 13.333333333333334)	(100, 42.0)	(101, 566.6666666666666)
MCIC_FD_2024_105_2 - Adapter 1	(1, 0.36172002557789606)	(2, 0.3185613510955135)	(3, 0.33711742150267027)	(4, 0.01683394929008095)	(5, 0.34706341625811976)	(6, 0.2227365684300639)	(7, 0.3088142041851617)	(8, 0.12683916793505834)	(9, 5.13184584178499)	(10, 9.674796747967479)	(11, 59.354838709677416)	(12, 122.0)	(13, 246.66666666666666)	(14, 197.33333333333334)	(15, 181.33333333333334)	(16, 168.66666666666666)	(17, 1610.0)	(18, 430.6666666666667)	(19, 308.6666666666667)	(20, 125.33333333333333)	(21, 72.66666666666667)	(22, 260.6666666666667)	(23, 76.0)	(24, 180.66666666666666)	(25, 64.0)	(26, 100.66666666666667)	(27, 216.66666666666666)	(28, 209.33333333333334)	(29, 144.0)	(30, 97.33333333333333)	(31, 121.33333333333333)	(32, 57.333333333333336)	(33, 130.0)	(34, 180.66666666666666)	(35, 68.66666666666667)	(36, 58.0)	(37, 119.33333333333333)	(38, 54.0)	(39, 53.333333333333336)	(40, 28.0)	(41, 74.0)	(42, 210.0)	(43, 28.666666666666668)	(44, 37.333333333333336)	(45, 97.33333333333333)	(46, 42.0)	(47, 33.333333333333336)	(48, 32.666666666666664)	(49, 94.0)	(50, 30.0)	(51, 37.333333333333336)	(52, 32.0)	(53, 22.0)	(54, 17.333333333333332)	(55, 32.666666666666664)	(56, 24.0)	(57, 32.666666666666664)	(58, 28.666666666666668)	(59, 14.666666666666666)	(60, 33.333333333333336)	(61, 30.0)	(62, 102.66666666666667)	(63, 25.333333333333332)	(64, 34.0)	(65, 36.666666666666664)	(66, 24.666666666666668)	(67, 24.666666666666668)	(68, 39.333333333333336)	(69, 30.0)	(70, 68.0)	(71, 11.333333333333334)	(72, 72.0)	(73, 49.333333333333336)	(74, 27.333333333333332)	(75, 19.333333333333332)	(76, 37.333333333333336)	(77, 139.33333333333334)	(78, 61.333333333333336)	(79, 18.666666666666668)	(80, 38.0)	(81, 17.333333333333332)	(82, 33.333333333333336)	(83, 17.333333333333332)	(84, 112.0)	(85, 29.333333333333332)	(86, 26.0)	(87, 41.333333333333336)	(88, 34.0)	(89, 14.666666666666666)	(90, 68.66666666666667)	(91, 18.666666666666668)	(92, 30.0)	(93, 29.333333333333332)	(94, 36.0)	(95, 29.333333333333332)	(96, 24.666666666666668)	(97, 22.666666666666668)	(98, 18.666666666666668)	(99, 18.0)	(100, 67.33333333333333)	(101, 388.6666666666667)
MCIC_FD_2024_204_1 - Adapter 1	(1, 0.3709386757312894)	(2, 0.3323285968950951)	(3, 0.3880864615036023)	(4, 0.01621283888908097)	(5, 0.33887673303270227)	(6, 0.245179389916232)	(7, 0.21100047415836887)	(8, 0.08220044261776793)	(9, 4.27307206068268)	(10, 10.353535353535353)	(11, 57.55102040816326)	(12, 27.5)	(13, 264.1666666666667)	(14, 40.833333333333336)	(15, 304.1666666666667)	(16, 635.0)	(17, 144.16666666666669)	(18, 510.0)	(19, 274.1666666666667)	(20, 122.5)	(21, 320.83333333333337)	(22, 306.6666666666667)	(23, 457.5)	(24, 235.0)	(25, 240.83333333333334)	(26, 102.5)	(27, 288.33333333333337)	(28, 47.5)	(29, 193.33333333333334)	(30, 136.66666666666669)	(31, 179.16666666666669)	(32, 203.33333333333334)	(33, 58.333333333333336)	(34, 130.83333333333334)	(35, 91.66666666666667)	(36, 73.33333333333334)	(37, 82.5)	(38, 120.83333333333334)	(39, 30.833333333333336)	(40, 56.66666666666667)	(41, 85.83333333333334)	(42, 49.16666666666667)	(43, 25.0)	(44, 57.5)	(45, 91.66666666666667)	(46, 26.666666666666668)	(47, 29.166666666666668)	(48, 28.333333333333336)	(49, 55.833333333333336)	(50, 49.16666666666667)	(51, 40.0)	(52, 23.333333333333336)	(53, 30.0)	(54, 32.5)	(55, 10.833333333333334)	(56, 13.333333333333334)	(57, 6.666666666666667)	(58, 12.5)	(59, 11.666666666666668)	(60, 11.666666666666668)	(61, 5.833333333333334)	(62, 13.333333333333334)	(63, 18.333333333333336)	(64, 8.333333333333334)	(65, 8.333333333333334)	(66, 9.166666666666668)	(67, 6.666666666666667)	(68, 10.833333333333334)	(69, 18.333333333333336)	(70, 11.666666666666668)	(71, 13.333333333333334)	(72, 3.3333333333333335)	(73, 2.5)	(74, 11.666666666666668)	(75, 8.333333333333334)	(76, 12.5)	(77, 10.0)	(78, 10.833333333333334)	(79, 6.666666666666667)	(80, 10.0)	(81, 11.666666666666668)	(82, 9.166666666666668)	(83, 12.5)	(84, 10.0)	(85, 5.0)	(86, 9.166666666666668)	(87, 15.833333333333334)	(88, 6.666666666666667)	(89, 13.333333333333334)	(90, 8.333333333333334)	(91, 11.666666666666668)	(92, 4.166666666666667)	(93, 7.5)	(94, 5.833333333333334)	(95, 4.166666666666667)	(96, 2.5)	(97, 8.333333333333334)	(98, 23.333333333333336)	(99, 25.833333333333336)	(100, 36.66666666666667)	(101, 3209.166666666667)
MCIC_FD_2024_204_2 - Adapter 1	(1, 0.30256697464744126)	(2, 0.2503452213896881)	(3, 0.3179254721620346)	(4, 0.03974800333888168)	(5, 0.3064757511248969)	(6, 0.16674569306148251)	(7, 0.388809862494073)	(8, 0.09800822004426177)	(9, 4.247787610619469)	(10, 5.858585858585858)	(11, 50.40816326530612)	(12, 57.5)	(13, 236.66666666666669)	(14, 63.333333333333336)	(15, 244.16666666666669)	(16, 181.66666666666669)	(17, 330.0)	(18, 308.33333333333337)	(19, 73.33333333333334)	(20, 82.5)	(21, 61.66666666666667)	(22, 245.83333333333334)	(23, 73.33333333333334)	(24, 200.0)	(25, 50.833333333333336)	(26, 55.0)	(27, 80.0)	(28, 90.0)	(29, 62.5)	(30, 61.66666666666667)	(31, 97.5)	(32, 37.5)	(33, 63.333333333333336)	(34, 88.33333333333334)	(35, 36.66666666666667)	(36, 30.833333333333336)	(37, 40.833333333333336)	(38, 49.16666666666667)	(39, 22.5)	(40, 33.333333333333336)	(41, 39.16666666666667)	(42, 50.0)	(43, 20.833333333333336)	(44, 21.666666666666668)	(45, 42.5)	(46, 12.5)	(47, 23.333333333333336)	(48, 20.0)	(49, 35.0)	(50, 10.833333333333334)	(51, 14.166666666666668)	(52, 8.333333333333334)	(53, 10.0)	(54, 6.666666666666667)	(55, 11.666666666666668)	(56, 5.0)	(57, 13.333333333333334)	(58, 15.0)	(59, 10.833333333333334)	(60, 12.5)	(61, 11.666666666666668)	(62, 13.333333333333334)	(63, 11.666666666666668)	(64, 7.5)	(65, 22.5)	(66, 15.833333333333334)	(67, 14.166666666666668)	(68, 8.333333333333334)	(69, 13.333333333333334)	(70, 15.833333333333334)	(71, 6.666666666666667)	(72, 18.333333333333336)	(73, 13.333333333333334)	(74, 10.833333333333334)	(75, 10.833333333333334)	(76, 5.833333333333334)	(77, 15.0)	(78, 15.833333333333334)	(79, 15.0)	(80, 9.166666666666668)	(81, 6.666666666666667)	(82, 8.333333333333334)	(83, 6.666666666666667)	(84, 21.666666666666668)	(85, 13.333333333333334)	(86, 5.0)	(87, 15.0)	(88, 7.5)	(89, 5.833333333333334)	(90, 17.5)	(91, 9.166666666666668)	(92, 5.833333333333334)	(93, 8.333333333333334)	(94, 29.166666666666668)	(95, 10.833333333333334)	(96, 20.833333333333336)	(97, 15.833333333333334)	(98, 10.833333333333334)	(99, 11.666666666666668)	(100, 18.333333333333336)	(101, 2043.3333333333335)
MCIC_MD_2024_109_1 - Adapter 1	(1, 0.3220919336687449)	(2, 0.31846042631700894)	(3, 0.2888573965362242)	(4, 0.006994041165881088)	(5, 0.12787211898556267)	(6, 0.18057606433133486)	(7, 0.1707941929974381)	(8, 0.09678337603188158)	(9, 3.8610478359908886)	(10, 12.136363636363637)	(11, 58.0)	(12, 43.57142857142858)	(13, 268.5714285714286)	(14, 35.0)	(15, 258.5714285714286)	(16, 566.4285714285714)	(17, 120.00000000000001)	(18, 426.42857142857144)	(19, 305.7142857142857)	(20, 118.57142857142858)	(21, 270.7142857142857)	(22, 258.5714285714286)	(23, 381.42857142857144)	(24, 231.42857142857144)	(25, 210.0)	(26, 91.42857142857143)	(27, 261.42857142857144)	(28, 45.0)	(29, 167.85714285714286)	(30, 115.71428571428572)	(31, 144.2857142857143)	(32, 204.2857142857143)	(33, 52.85714285714286)	(34, 73.57142857142857)	(35, 77.14285714285715)	(36, 95.0)	(37, 75.71428571428572)	(38, 97.85714285714286)	(39, 27.142857142857146)	(40, 121.42857142857143)	(41, 17.142857142857142)	(42, 28.571428571428573)	(43, 12.142857142857144)	(44, 37.142857142857146)	(45, 80.0)	(46, 29.28571428571429)	(47, 32.142857142857146)	(48, 17.142857142857142)	(49, 55.0)	(50, 23.571428571428573)	(51, 29.28571428571429)	(52, 30.000000000000004)	(53, 20.714285714285715)	(54, 9.285714285714286)	(55, 12.142857142857144)	(56, 6.428571428571429)	(57, 5.714285714285714)	(58, 12.142857142857144)	(59, 3.5714285714285716)	(60, 12.142857142857144)	(61, 15.000000000000002)	(62, 6.428571428571429)	(63, 12.142857142857144)	(64, 35.714285714285715)	(65, 24.28571428571429)	(66, 10.714285714285715)	(67, 7.142857142857143)	(68, 7.142857142857143)	(69, 5.714285714285714)	(70, 8.571428571428571)	(71, 14.285714285714286)	(72, 20.0)	(73, 9.285714285714286)	(74, 2.857142857142857)	(75, 2.142857142857143)	(76, 4.285714285714286)	(77, 15.714285714285715)	(78, 26.42857142857143)	(79, 9.285714285714286)	(80, 7.857142857142858)	(81, 22.857142857142858)	(82, 17.142857142857142)	(83, 4.285714285714286)	(84, 8.571428571428571)	(85, 11.428571428571429)	(86, 19.28571428571429)	(87, 14.285714285714286)	(88, 10.0)	(89, 25.0)	(90, 7.857142857142858)	(91, 15.000000000000002)	(92, 2.142857142857143)	(93, 12.142857142857144)	(94, 2.142857142857143)	(95, 8.571428571428571)	(96, 7.857142857142858)	(97, 14.285714285714286)	(98, 22.142857142857146)	(99, 15.000000000000002)	(100, 51.42857142857143)	(101, 1216.4285714285716)
MCIC_MD_2024_109_2 - Adapter 1	(1, 0.3847980513135881)	(2, 0.3428916285934646)	(3, 0.3623949433832609)	(4, 0.013732338378160801)	(5, 0.30538085876691246)	(6, 0.20797381202298565)	(7, 0.22345573583831482)	(8, 0.21918588101337888)	(9, 6.309794988610479)	(10, 11.136363636363637)	(11, 65.27272727272727)	(12, 165.0)	(13, 213.57142857142858)	(14, 317.8571428571429)	(15, 175.0)	(16, 149.2857142857143)	(17, 2523.571428571429)	(18, 462.8571428571429)	(19, 459.28571428571433)	(20, 108.57142857142858)	(21, 75.71428571428572)	(22, 257.14285714285717)	(23, 77.85714285714286)	(24, 176.42857142857144)	(25, 72.85714285714286)	(26, 120.71428571428572)	(27, 295.0)	(28, 271.42857142857144)	(29, 177.85714285714286)	(30, 87.85714285714286)	(31, 145.0)	(32, 57.142857142857146)	(33, 211.42857142857144)	(34, 243.57142857142858)	(35, 61.42857142857143)	(36, 33.57142857142858)	(37, 63.57142857142858)	(38, 91.42857142857143)	(39, 85.71428571428572)	(40, 17.142857142857142)	(41, 77.14285714285715)	(42, 252.85714285714286)	(43, 27.142857142857146)	(44, 30.714285714285715)	(45, 108.57142857142858)	(46, 25.714285714285715)	(47, 33.57142857142858)	(48, 40.0)	(49, 123.57142857142858)	(50, 13.571428571428573)	(51, 35.714285714285715)	(52, 28.571428571428573)	(53, 23.571428571428573)	(54, 11.428571428571429)	(55, 32.85714285714286)	(56, 17.857142857142858)	(57, 33.57142857142858)	(58, 21.42857142857143)	(59, 15.714285714285715)	(60, 25.714285714285715)	(61, 14.285714285714286)	(62, 76.42857142857143)	(63, 20.714285714285715)	(64, 16.42857142857143)	(65, 27.142857142857146)	(66, 20.0)	(67, 18.571428571428573)	(68, 28.571428571428573)	(69, 30.000000000000004)	(70, 46.42857142857143)	(71, 13.571428571428573)	(72, 59.28571428571429)	(73, 35.0)	(74, 19.28571428571429)	(75, 15.714285714285715)	(76, 36.42857142857143)	(77, 105.71428571428572)	(78, 43.57142857142858)	(79, 12.857142857142858)	(80, 31.42857142857143)	(81, 15.000000000000002)	(82, 18.571428571428573)	(83, 22.142857142857146)	(84, 85.0)	(85, 23.571428571428573)	(86, 15.714285714285715)	(87, 38.57142857142858)	(88, 36.42857142857143)	(89, 12.142857142857144)	(90, 66.42857142857143)	(91, 7.857142857142858)	(92, 10.0)	(93, 26.42857142857143)	(94, 17.142857142857142)	(95, 18.571428571428573)	(96, 22.142857142857146)	(97, 18.571428571428573)	(98, 17.857142857142858)	(99, 10.0)	(100, 45.714285714285715)	(101, 767.8571428571429)
MCIC_MD_2024_113_1 - Adapter 1	(1, 0.35466579679517835)	(2, 0.38154600649143866)	(3, 0.3741431835491241)	(4, 0.007693271761450731)	(5, 0.1529781966543009)	(6, 0.1898841567816872)	(7, 0.4621459863022151)	(8, 0.06910167818361303)	(9, 3.405725567620928)	(10, 10.434782608695652)	(11, 41.58730158730159)	(12, 27.5)	(13, 281.875)	(14, 17.5)	(15, 253.125)	(16, 574.375)	(17, 118.125)	(18, 428.75)	(19, 223.75)	(20, 88.125)	(21, 252.5)	(22, 256.25)	(23, 387.5)	(24, 212.5)	(25, 208.75)	(26, 70.0)	(27, 263.125)	(28, 41.25)	(29, 181.875)	(30, 124.375)	(31, 144.375)	(32, 168.75)	(33, 44.375)	(34, 95.625)	(35, 80.0)	(36, 90.0)	(37, 82.5)	(38, 83.75)	(39, 91.25)	(40, 60.625)	(41, 21.875)	(42, 46.25)	(43, 40.0)	(44, 42.5)	(45, 73.75)	(46, 15.0)	(47, 8.75)	(48, 9.375)	(49, 21.25)	(50, 11.875)	(51, 12.5)	(52, 15.0)	(53, 21.875)	(54, 19.375)	(55, 11.25)	(56, 5.0)	(57, 5.0)	(58, 6.25)	(59, 1.25)	(60, 5.0)	(61, 1.25)	(62, 1.875)	(63, 1.875)	(64, 2.5)	(65, 1.25)	(66, 1.25)	(67, 1.25)	(68, 2.5)	(69, 1.25)	(70, 4.375)	(71, 3.125)	(72, 3.125)	(73, 5.625)	(74, 2.5)	(75, 5.625)	(76, 0.625)	(77, 1.25)	(78, 4.375)	(79, 1.875)	(81, 5.625)	(82, 5.0)	(83, 4.375)	(85, 3.125)	(86, 5.625)	(87, 11.875)	(88, 3.125)	(89, 17.5)	(90, 1.25)	(91, 5.625)	(93, 1.25)	(94, 1.875)	(95, 1.875)	(96, 1.875)	(97, 5.0)	(98, 10.625)	(99, 6.875)	(100, 8.75)	(101, 583.75)			
MCIC_MD_2024_113_2 - Adapter 1	(1, 0.2948115685577007)	(2, 0.22670747330085986)	(3, 0.30899621120826787)	(4, 0.02912452881120634)	(5, 0.35751471166675663)	(6, 0.18556510203766835)	(7, 0.5923366446597149)	(8, 0.07156959526159921)	(9, 2.4383020730503455)	(10, 4.901185770750988)	(11, 36.507936507936506)	(12, 67.5)	(13, 183.75)	(14, 88.125)	(15, 185.0)	(16, 141.25)	(17, 823.75)	(18, 300.625)	(19, 175.0)	(20, 78.75)	(21, 55.625)	(22, 221.875)	(23, 56.875)	(24, 151.875)	(25, 49.375)	(26, 56.25)	(27, 116.875)	(28, 101.875)	(29, 79.375)	(30, 55.625)	(31, 81.25)	(32, 26.875)	(33, 93.125)	(34, 108.125)	(35, 48.75)	(36, 26.875)	(37, 40.625)	(38, 55.0)	(39, 33.75)	(40, 36.25)	(41, 38.125)	(42, 109.375)	(43, 14.375)	(44, 15.0)	(45, 58.75)	(46, 22.5)	(47, 19.375)	(48, 18.125)	(49, 56.875)	(50, 11.875)	(51, 14.375)	(52, 16.25)	(53, 8.75)	(54, 5.625)	(55, 20.625)	(56, 6.875)	(57, 18.75)	(58, 9.375)	(59, 6.25)	(60, 5.625)	(61, 13.75)	(62, 51.875)	(63, 14.375)	(64, 5.0)	(65, 20.0)	(66, 9.375)	(67, 5.0)	(68, 10.625)	(69, 10.0)	(70, 26.875)	(71, 5.625)	(72, 40.0)	(73, 26.875)	(74, 11.25)	(75, 8.125)	(76, 11.25)	(77, 56.875)	(78, 26.25)	(79, 3.125)	(80, 15.0)	(81, 10.625)	(82, 11.875)	(83, 4.375)	(84, 45.0)	(85, 10.0)	(86, 6.25)	(87, 16.25)	(88, 7.5)	(89, 15.0)	(90, 28.75)	(91, 5.0)	(92, 6.875)	(93, 8.125)	(94, 8.75)	(95, 14.375)	(96, 8.125)	(97, 9.375)	(98, 8.75)	(99, 6.25)	(100, 30.0)	(101, 402.5)
