Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
MCIC_FC_2024_111_1	(0.0, 50782.0)	(1.0, 25391.5)	(2.0, 1.0)	(3.0, 1.5)	(4.0, 1.5)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 2.0)	(9.0, 2.0)	(10.0, 10.0)	(11.0, 17.5)	(12.0, 16.5)	(13.0, 23.0)	(14.0, 47.5)	(15.0, 100.0)	(16.0, 248.5)	(17.0, 452.0)	(18.0, 619.5)	(19.0, 977.0)	(20.0, 1469.0)	(21.0, 1837.5)	(22.0, 2381.0)	(23.0, 3271.5)	(24.0, 4748.0)	(25.0, 11502.5)	(26.0, 20801.5)	(27.0, 31017.5)	(28.0, 63871.5)	(29.0, 92676.0)	(30.0, 122093.0)	(31.0, 149573.0)	(32.0, 166983.5)	(33.0, 188694.5)	(34.0, 224979.0)	(35.0, 282706.5)	(36.0, 343097.0)	(37.0, 429384.5)	(38.0, 534915.5)	(39.0, 561716.0)	(40.0, 602983.0)	(41.0, 706314.5)	(42.0, 763193.5)	(43.0, 848757.0)	(44.0, 940115.0)	(45.0, 1019215.0)	(46.0, 1063396.5)	(47.0, 1070102.5)	(48.0, 1020199.0)	(49.0, 915236.0)	(50.0, 894348.5)	(51.0, 895516.5)	(52.0, 837926.0)	(53.0, 806587.5)	(54.0, 796192.5)	(55.0, 755458.5)	(56.0, 710828.5)	(57.0, 633204.5)	(58.0, 542463.5)	(59.0, 485976.5)	(60.0, 441273.0)	(61.0, 399692.0)	(62.0, 357232.5)	(63.0, 307121.5)	(64.0, 253517.5)	(65.0, 202584.0)	(66.0, 159287.5)	(67.0, 125544.0)	(68.0, 100279.5)	(69.0, 77998.5)	(70.0, 57952.5)	(71.0, 41317.0)	(72.0, 29423.5)	(73.0, 20505.0)	(74.0, 13872.0)	(75.0, 9657.0)	(76.0, 6759.0)	(77.0, 4262.0)	(78.0, 2820.5)	(79.0, 2245.0)	(80.0, 1495.0)	(81.0, 942.0)	(82.0, 661.5)	(83.0, 458.0)	(84.0, 202.0)	(85.0, 87.5)	(86.0, 38.0)	(87.0, 14.5)	(88.0, 10.0)	(89.0, 8.0)	(90.0, 7.0)	(91.0, 7.5)	(92.0, 7.5)	(93.0, 8.0)	(94.0, 9.5)	(95.0, 8.0)	(96.0, 6.5)	(97.0, 10.5)	(98.0, 47.0)	(99.0, 44.0)	(100.0, 4.5)
MCIC_FC_2024_111_2	(0.0, 51201.0)	(1.0, 25601.5)	(2.0, 1.5)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.5)	(6.0, 2.5)	(7.0, 10.5)	(8.0, 32.5)	(9.0, 48.0)	(10.0, 46.5)	(11.0, 44.5)	(12.0, 97.0)	(13.0, 88.5)	(14.0, 126.5)	(15.0, 239.0)	(16.0, 322.0)	(17.0, 486.5)	(18.0, 653.0)	(19.0, 848.5)	(20.0, 985.5)	(21.0, 1227.5)	(22.0, 1702.5)	(23.0, 3254.5)	(24.0, 5416.0)	(25.0, 15323.5)	(26.0, 26305.5)	(27.0, 32573.0)	(28.0, 47319.0)	(29.0, 64253.5)	(30.0, 101522.0)	(31.0, 152206.5)	(32.0, 176599.5)	(33.0, 204369.0)	(34.0, 263919.0)	(35.0, 316605.0)	(36.0, 380673.5)	(37.0, 438933.5)	(38.0, 483879.0)	(39.0, 526727.5)	(40.0, 577832.5)	(41.0, 670845.0)	(42.0, 771806.5)	(43.0, 898546.5)	(44.0, 979422.0)	(45.0, 1000825.0)	(46.0, 1043416.5)	(47.0, 1048080.5)	(48.0, 971982.5)	(49.0, 908030.5)	(50.0, 933687.0)	(51.0, 956782.0)	(52.0, 903379.0)	(53.0, 838974.5)	(54.0, 792904.5)	(55.0, 732292.0)	(56.0, 681601.0)	(57.0, 617730.0)	(58.0, 541976.0)	(59.0, 488088.5)	(60.0, 439390.0)	(61.0, 395039.5)	(62.0, 345435.5)	(63.0, 294164.5)	(64.0, 243046.5)	(65.0, 197051.5)	(66.0, 155476.5)	(67.0, 121144.0)	(68.0, 96409.0)	(69.0, 75322.5)	(70.0, 56723.0)	(71.0, 40618.0)	(72.0, 28489.5)	(73.0, 19934.5)	(74.0, 13795.5)	(75.0, 9449.0)	(76.0, 6501.5)	(77.0, 4521.0)	(78.0, 3284.5)	(79.0, 2647.5)	(80.0, 1852.5)	(81.0, 1218.0)	(82.0, 942.5)	(83.0, 828.0)	(84.0, 625.0)	(85.0, 300.0)	(86.0, 165.5)	(87.0, 118.0)	(88.0, 82.5)	(89.0, 79.0)	(90.0, 87.0)	(91.0, 92.0)	(92.0, 88.5)	(93.0, 88.5)	(94.0, 95.0)	(95.0, 96.0)	(96.0, 99.5)	(97.0, 152.0)	(98.0, 264.0)	(99.0, 534.5)	(100.0, 4380.0)
MCIC_FD_2024_105_1	(0.0, 24611.0)	(1.0, 12306.0)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.5)	(9.0, 10.0)	(10.0, 17.5)	(11.0, 17.5)	(12.0, 17.0)	(13.0, 24.5)	(14.0, 47.5)	(15.0, 125.5)	(16.0, 244.0)	(17.0, 386.0)	(18.0, 789.0)	(19.0, 1637.5)	(20.0, 1937.0)	(21.0, 2324.0)	(22.0, 3287.5)	(23.0, 4236.0)	(24.0, 5678.0)	(25.0, 11218.5)	(26.0, 19943.5)	(27.0, 31445.0)	(28.0, 67285.0)	(29.0, 98241.5)	(30.0, 133832.5)	(31.0, 168150.0)	(32.0, 185712.5)	(33.0, 213825.0)	(34.0, 257879.0)	(35.0, 328992.0)	(36.0, 411940.0)	(37.0, 509092.0)	(38.0, 608744.0)	(39.0, 631498.0)	(40.0, 673048.0)	(41.0, 789340.0)	(42.0, 868261.5)	(43.0, 946000.5)	(44.0, 1025761.0)	(45.0, 1088440.5)	(46.0, 1111680.5)	(47.0, 1093877.0)	(48.0, 1027078.0)	(49.0, 912937.5)	(50.0, 878711.0)	(51.0, 899752.5)	(52.0, 882666.0)	(53.0, 883803.5)	(54.0, 890465.5)	(55.0, 887619.0)	(56.0, 884920.0)	(57.0, 817552.0)	(58.0, 734102.0)	(59.0, 697943.5)	(60.0, 674024.5)	(61.0, 622861.0)	(62.0, 554832.5)	(63.0, 488931.0)	(64.0, 422266.5)	(65.0, 353270.0)	(66.0, 285668.0)	(67.0, 230090.5)	(68.0, 187512.0)	(69.0, 149613.5)	(70.0, 116361.5)	(71.0, 83203.0)	(72.0, 54735.5)	(73.0, 38329.0)	(74.0, 25921.0)	(75.0, 17931.0)	(76.0, 12484.0)	(77.0, 8291.0)	(78.0, 5590.5)	(79.0, 4036.5)	(80.0, 2596.0)	(81.0, 1610.5)	(82.0, 1001.0)	(83.0, 624.5)	(84.0, 331.5)	(85.0, 151.0)	(86.0, 73.5)	(87.0, 18.0)	(88.0, 5.0)	(89.0, 4.0)	(90.0, 4.0)	(91.0, 3.0)	(92.0, 2.5)	(93.0, 4.0)	(94.0, 7.0)	(95.0, 6.5)	(96.0, 4.0)	(97.0, 12.0)	(98.0, 95.0)	(99.0, 87.0)	(100.0, 2.0)
MCIC_FD_2024_105_2	(0.0, 24828.0)	(1.0, 12414.5)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 30.0)	(8.0, 65.5)	(9.0, 109.0)	(10.0, 131.5)	(11.0, 92.0)	(12.0, 203.5)	(13.0, 204.0)	(14.0, 328.0)	(15.0, 977.0)	(16.0, 1219.5)	(17.0, 1482.5)	(18.0, 1456.0)	(19.0, 1247.5)	(20.0, 1631.0)	(21.0, 1798.5)	(22.0, 2453.5)	(23.0, 3907.5)	(24.0, 6244.0)	(25.0, 15219.5)	(26.0, 26836.5)	(27.0, 36748.0)	(28.0, 55849.0)	(29.0, 76378.0)	(30.0, 116439.0)	(31.0, 170421.5)	(32.0, 203352.5)	(33.0, 241509.5)	(34.0, 308822.5)	(35.0, 369728.0)	(36.0, 440895.0)	(37.0, 509965.0)	(38.0, 559517.5)	(39.0, 600098.0)	(40.0, 657818.5)	(41.0, 760230.5)	(42.0, 864291.0)	(43.0, 986900.5)	(44.0, 1062009.5)	(45.0, 1076397.0)	(46.0, 1091683.5)	(47.0, 1062531.0)	(48.0, 983995.5)	(49.0, 922259.5)	(50.0, 940487.5)	(51.0, 982347.0)	(52.0, 956740.5)	(53.0, 902863.5)	(54.0, 873307.0)	(55.0, 861264.0)	(56.0, 846899.5)	(57.0, 794802.5)	(58.0, 736838.5)	(59.0, 702311.5)	(60.0, 656378.5)	(61.0, 600735.5)	(62.0, 546328.5)	(63.0, 484382.0)	(64.0, 409143.5)	(65.0, 338078.5)	(66.0, 276189.0)	(67.0, 221008.5)	(68.0, 180454.0)	(69.0, 142208.0)	(70.0, 104690.5)	(71.0, 75491.0)	(72.0, 52846.5)	(73.0, 36880.0)	(74.0, 25044.5)	(75.0, 17040.0)	(76.0, 12206.0)	(77.0, 8618.5)	(78.0, 6012.5)	(79.0, 4235.0)	(80.0, 2898.5)	(81.0, 2026.5)	(82.0, 1308.5)	(83.0, 986.0)	(84.0, 735.0)	(85.0, 369.5)	(86.0, 214.5)	(87.0, 148.5)	(88.0, 125.5)	(89.0, 113.0)	(90.0, 96.0)	(91.0, 110.5)	(92.0, 120.5)	(93.0, 105.0)	(94.0, 121.5)	(95.0, 145.5)	(96.0, 152.5)	(97.0, 189.5)	(98.0, 314.0)	(99.0, 640.0)	(100.0, 5323.0)
MCIC_FD_2024_204_1	(0.0, 119730.0)	(1.0, 59865.0)	(2.0, 1.0)	(3.0, 1.0)	(4.0, 2.5)	(5.0, 5.0)	(6.0, 5.5)	(7.0, 25.0)	(8.0, 79.0)	(9.0, 404.5)	(10.0, 731.0)	(11.0, 644.0)	(12.0, 527.0)	(13.0, 511.5)	(14.0, 1090.5)	(15.0, 2972.0)	(16.0, 4309.0)	(17.0, 6781.5)	(18.0, 13478.0)	(19.0, 26120.0)	(20.0, 27224.0)	(21.0, 27794.0)	(22.0, 35940.5)	(23.0, 32890.5)	(24.0, 22754.5)	(25.0, 18578.5)	(26.0, 23158.0)	(27.0, 30106.5)	(28.0, 47805.0)	(29.0, 60033.5)	(30.0, 73519.5)	(31.0, 102324.0)	(32.0, 141593.0)	(33.0, 187753.5)	(34.0, 212227.0)	(35.0, 268132.0)	(36.0, 390119.5)	(37.0, 444596.0)	(38.0, 450020.0)	(39.0, 448735.5)	(40.0, 475560.0)	(41.0, 555385.5)	(42.0, 598008.5)	(43.0, 642803.5)	(44.0, 691136.5)	(45.0, 737058.0)	(46.0, 764008.0)	(47.0, 762861.5)	(48.0, 729382.0)	(49.0, 730866.0)	(50.0, 807177.0)	(51.0, 900683.5)	(52.0, 965155.0)	(53.0, 1020583.0)	(54.0, 1035002.0)	(55.0, 1004027.0)	(56.0, 972385.5)	(57.0, 894273.0)	(58.0, 743486.0)	(59.0, 576047.5)	(60.0, 452615.5)	(61.0, 352541.0)	(62.0, 269765.5)	(63.0, 191789.0)	(64.0, 141560.0)	(65.0, 114497.5)	(66.0, 100295.0)	(67.0, 86462.5)	(68.0, 64755.5)	(69.0, 50031.5)	(70.0, 43117.5)	(71.0, 34078.0)	(72.0, 29602.5)	(73.0, 26103.5)	(74.0, 19884.0)	(75.0, 16330.0)	(76.0, 18442.0)	(77.0, 16229.5)	(78.0, 16930.0)	(79.0, 21117.0)	(80.0, 17592.5)	(81.0, 12452.5)	(82.0, 9750.0)	(83.0, 8601.5)	(84.0, 3903.5)	(85.0, 1041.5)	(86.0, 190.5)	(87.0, 34.5)	(88.0, 29.0)	(89.0, 21.0)	(90.0, 13.0)	(91.0, 8.5)	(92.0, 7.0)	(93.0, 6.0)	(94.0, 9.5)	(95.0, 6.5)	(96.0, 3.0)	(97.0, 5.0)	(98.0, 22.0)	(99.0, 19.5)	(100.0, 0.5)
MCIC_FD_2024_204_2	(0.0, 120814.0)	(1.0, 60408.0)	(2.0, 1.5)	(3.0, 0.5)	(4.0, 3.0)	(5.0, 9.5)	(6.0, 11.0)	(7.0, 493.5)	(8.0, 1207.5)	(9.0, 2298.5)	(10.0, 2561.5)	(11.0, 1821.5)	(12.0, 4008.5)	(13.0, 3795.0)	(14.0, 6248.5)	(15.0, 18464.5)	(16.0, 22473.5)	(17.0, 25372.0)	(18.0, 23573.0)	(19.0, 21186.0)	(20.0, 25138.5)	(21.0, 18942.0)	(22.0, 19879.5)	(23.0, 19591.0)	(24.0, 20816.5)	(25.0, 27251.5)	(26.0, 36287.5)	(27.0, 40226.5)	(28.0, 37827.0)	(29.0, 49929.5)	(30.0, 76173.5)	(31.0, 121528.0)	(32.0, 180031.0)	(33.0, 219778.0)	(34.0, 275590.5)	(35.0, 305789.0)	(36.0, 320777.5)	(37.0, 357573.0)	(38.0, 395639.5)	(39.0, 434252.5)	(40.0, 471615.5)	(41.0, 533458.5)	(42.0, 598063.5)	(43.0, 675975.5)	(44.0, 718687.5)	(45.0, 722456.5)	(46.0, 744513.5)	(47.0, 755342.0)	(48.0, 712069.0)	(49.0, 714642.5)	(50.0, 804273.0)	(51.0, 903122.0)	(52.0, 983774.0)	(53.0, 1012094.0)	(54.0, 994562.5)	(55.0, 1004619.5)	(56.0, 1016107.0)	(57.0, 890121.5)	(58.0, 707083.0)	(59.0, 596679.5)	(60.0, 482244.0)	(61.0, 346655.5)	(62.0, 246145.0)	(63.0, 180684.5)	(64.0, 147360.5)	(65.0, 126803.5)	(66.0, 94001.5)	(67.0, 68929.0)	(68.0, 57455.0)	(69.0, 49747.0)	(70.0, 44715.5)	(71.0, 36495.5)	(72.0, 25764.5)	(73.0, 21576.5)	(74.0, 23293.5)	(75.0, 20432.5)	(76.0, 17336.5)	(77.0, 15324.5)	(78.0, 18710.0)	(79.0, 23869.5)	(80.0, 24998.5)	(81.0, 22727.0)	(82.0, 15272.0)	(83.0, 14677.5)	(84.0, 11585.5)	(85.0, 3857.5)	(86.0, 786.0)	(87.0, 134.5)	(88.0, 111.5)	(89.0, 90.0)	(90.0, 90.5)	(91.0, 88.5)	(92.0, 76.0)	(93.0, 80.5)	(94.0, 90.0)	(95.0, 84.5)	(96.0, 87.5)	(97.0, 121.5)	(98.0, 235.5)	(99.0, 466.0)	(100.0, 3327.5)
MCIC_MD_2024_109_1	(0.0, 59958.0)	(1.0, 29979.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.5)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 16.0)	(10.0, 31.0)	(11.0, 29.0)	(12.0, 34.0)	(13.0, 37.0)	(14.0, 44.0)	(15.0, 104.0)	(16.0, 224.5)	(17.0, 355.0)	(18.0, 720.0)	(19.0, 1454.0)	(20.0, 1703.0)	(21.0, 2066.5)	(22.0, 2974.0)	(23.0, 3576.0)	(24.0, 4307.5)	(25.0, 6591.5)	(26.0, 10299.5)	(27.0, 15569.5)	(28.0, 29758.5)	(29.0, 42269.5)	(30.0, 57231.0)	(31.0, 74267.5)	(32.0, 90618.5)	(33.0, 116980.5)	(34.0, 153023.0)	(35.0, 205717.5)	(36.0, 272290.0)	(37.0, 346529.5)	(38.0, 423054.0)	(39.0, 471366.0)	(40.0, 524526.5)	(41.0, 607233.5)	(42.0, 676757.5)	(43.0, 743902.5)	(44.0, 810600.0)	(45.0, 869827.5)	(46.0, 901471.5)	(47.0, 902527.0)	(48.0, 880547.5)	(49.0, 840610.5)	(50.0, 846009.0)	(51.0, 878105.0)	(52.0, 885424.5)	(53.0, 888295.5)	(54.0, 891524.0)	(55.0, 901859.0)	(56.0, 903105.5)	(57.0, 849428.5)	(58.0, 779666.0)	(59.0, 740541.5)	(60.0, 712454.0)	(61.0, 661605.5)	(62.0, 586622.0)	(63.0, 510092.0)	(64.0, 438751.5)	(65.0, 365864.5)	(66.0, 293795.0)	(67.0, 235513.5)	(68.0, 192262.0)	(69.0, 152927.5)	(70.0, 118413.0)	(71.0, 83866.5)	(72.0, 52976.5)	(73.0, 37089.0)	(74.0, 25042.5)	(75.0, 16916.0)	(76.0, 11533.5)	(77.0, 7489.5)	(78.0, 4806.0)	(79.0, 3361.0)	(80.0, 2141.5)	(81.0, 1271.0)	(82.0, 774.5)	(83.0, 410.0)	(84.0, 205.0)	(85.0, 109.5)	(86.0, 66.5)	(87.0, 19.5)	(88.0, 6.5)	(89.0, 4.0)	(90.0, 7.0)	(91.0, 6.0)	(92.0, 6.0)	(93.0, 8.5)	(94.0, 10.0)	(95.0, 10.5)	(96.0, 9.0)	(97.0, 21.5)	(98.0, 125.5)	(99.0, 113.5)	(100.0, 5.5)
MCIC_MD_2024_109_2	(0.0, 60440.0)	(1.0, 30221.0)	(2.0, 1.5)	(3.0, 0.5)	(4.0, 0.0)	(5.0, 1.5)	(6.0, 2.0)	(7.0, 30.0)	(8.0, 60.0)	(9.0, 91.5)	(10.0, 97.0)	(11.0, 72.5)	(12.0, 160.0)	(13.0, 154.5)	(14.0, 241.0)	(15.0, 673.5)	(16.0, 811.5)	(17.0, 967.0)	(18.0, 1003.0)	(19.0, 1015.5)	(20.0, 1366.0)	(21.0, 1460.5)	(22.0, 1871.0)	(23.0, 2573.0)	(24.0, 3625.5)	(25.0, 7017.0)	(26.0, 11194.0)	(27.0, 15105.5)	(28.0, 22882.5)	(29.0, 33379.0)	(30.0, 50701.0)	(31.0, 74798.0)	(32.0, 98685.5)	(33.0, 129445.0)	(34.0, 174658.0)	(35.0, 223981.5)	(36.0, 283856.5)	(37.0, 347852.5)	(38.0, 408657.5)	(39.0, 467414.0)	(40.0, 528862.0)	(41.0, 604355.5)	(42.0, 678392.5)	(43.0, 766142.5)	(44.0, 831259.5)	(45.0, 866038.0)	(46.0, 899403.5)	(47.0, 893047.5)	(48.0, 863125.0)	(49.0, 847886.0)	(50.0, 893382.5)	(51.0, 937676.0)	(52.0, 921744.0)	(53.0, 901641.0)	(54.0, 891902.5)	(55.0, 891212.0)	(56.0, 874339.0)	(57.0, 828639.5)	(58.0, 784239.0)	(59.0, 747494.0)	(60.0, 694253.5)	(61.0, 633005.5)	(62.0, 573487.5)	(63.0, 504707.5)	(64.0, 423395.5)	(65.0, 347837.0)	(66.0, 282504.5)	(67.0, 224385.0)	(68.0, 183748.0)	(69.0, 144632.5)	(70.0, 104989.0)	(71.0, 74216.0)	(72.0, 51052.5)	(73.0, 35346.5)	(74.0, 23730.5)	(75.0, 15736.5)	(76.0, 10915.5)	(77.0, 7679.5)	(78.0, 5198.5)	(79.0, 3396.5)	(80.0, 2120.0)	(81.0, 1417.5)	(82.0, 915.0)	(83.0, 604.0)	(84.0, 425.5)	(85.0, 249.0)	(86.0, 204.5)	(87.0, 141.0)	(88.0, 96.0)	(89.0, 93.5)	(90.0, 108.0)	(91.0, 93.0)	(92.0, 80.5)	(93.0, 79.0)	(94.0, 79.0)	(95.0, 89.5)	(96.0, 106.0)	(97.0, 154.0)	(98.0, 263.5)	(99.0, 507.0)	(100.0, 4095.5)
MCIC_MD_2024_113_1	(0.0, 30902.0)	(1.0, 15451.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 6.0)	(9.0, 37.0)	(10.0, 51.0)	(11.0, 36.0)	(12.0, 34.5)	(13.0, 25.5)	(14.0, 63.5)	(15.0, 206.5)	(16.0, 319.5)	(17.0, 482.5)	(18.0, 1093.0)	(19.0, 2424.5)	(20.0, 2691.5)	(21.0, 2898.5)	(22.0, 4193.0)	(23.0, 4344.0)	(24.0, 3879.5)	(25.0, 16253.0)	(26.0, 34392.0)	(27.0, 50316.5)	(28.0, 107473.0)	(29.0, 159609.5)	(30.0, 214997.0)	(31.0, 256991.5)	(32.0, 267871.5)	(33.0, 270209.0)	(34.0, 287967.5)	(35.0, 382098.0)	(36.0, 492880.0)	(37.0, 610715.0)	(38.0, 750120.5)	(39.0, 714469.0)	(40.0, 707152.0)	(41.0, 851430.0)	(42.0, 927087.0)	(43.0, 1025911.5)	(44.0, 1128849.5)	(45.0, 1276950.5)	(46.0, 1349772.0)	(47.0, 1347483.0)	(48.0, 1243172.5)	(49.0, 1046389.5)	(50.0, 964526.5)	(51.0, 965540.0)	(52.0, 1032892.0)	(53.0, 1092071.0)	(54.0, 1065691.5)	(55.0, 985568.5)	(56.0, 966511.0)	(57.0, 900282.0)	(58.0, 701125.5)	(59.0, 538134.5)	(60.0, 434277.0)	(61.0, 338250.0)	(62.0, 267718.5)	(63.0, 213808.0)	(64.0, 172700.0)	(65.0, 138009.0)	(66.0, 109638.0)	(67.0, 87008.0)	(68.0, 68841.0)	(69.0, 53809.0)	(70.0, 41025.5)	(71.0, 29687.0)	(72.0, 21438.5)	(73.0, 15275.0)	(74.0, 11017.5)	(75.0, 8124.5)	(76.0, 5702.0)	(77.0, 3825.5)	(78.0, 2586.5)	(79.0, 1952.5)	(80.0, 1431.0)	(81.0, 852.5)	(82.0, 504.5)	(83.0, 322.0)	(84.0, 144.5)	(85.0, 63.0)	(86.0, 39.5)	(87.0, 19.0)	(88.0, 12.5)	(89.0, 8.0)	(90.0, 4.5)	(91.0, 5.5)	(92.0, 6.0)	(93.0, 5.0)	(94.0, 6.0)	(95.0, 6.0)	(96.0, 5.5)	(97.0, 11.5)	(98.0, 76.5)	(99.0, 70.5)	(100.0, 3.0)
MCIC_MD_2024_113_2	(0.0, 31142.0)	(1.0, 15572.0)	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 56.5)	(8.0, 140.5)	(9.0, 287.5)	(10.0, 326.0)	(11.0, 205.5)	(12.0, 450.0)	(13.0, 429.0)	(14.0, 637.0)	(15.0, 1928.0)	(16.0, 2357.5)	(17.0, 2753.0)	(18.0, 2542.5)	(19.0, 2002.5)	(20.0, 2392.5)	(21.0, 2018.0)	(22.0, 2356.5)	(23.0, 4515.0)	(24.0, 7710.0)	(25.0, 29438.5)	(26.0, 51473.5)	(27.0, 55979.0)	(28.0, 73333.5)	(29.0, 93629.5)	(30.0, 167151.0)	(31.0, 277211.5)	(32.0, 306483.5)	(33.0, 321012.0)	(34.0, 409790.0)	(35.0, 487579.5)	(36.0, 578540.5)	(37.0, 623396.0)	(38.0, 630970.5)	(39.0, 634473.5)	(40.0, 660606.5)	(41.0, 784936.0)	(42.0, 946510.0)	(43.0, 1141506.0)	(44.0, 1228162.0)	(45.0, 1222412.5)	(46.0, 1255730.5)	(47.0, 1249793.0)	(48.0, 1096104.5)	(49.0, 972659.0)	(50.0, 973870.0)	(51.0, 1049550.0)	(52.0, 1129512.0)	(53.0, 1105891.0)	(54.0, 1026665.5)	(55.0, 937475.0)	(56.0, 949988.5)	(57.0, 927452.5)	(58.0, 770617.5)	(59.0, 588370.5)	(60.0, 429853.5)	(61.0, 334231.0)	(62.0, 261003.0)	(63.0, 205530.0)	(64.0, 166573.0)	(65.0, 136417.0)	(66.0, 108938.0)	(67.0, 85859.0)	(68.0, 67852.5)	(69.0, 53169.0)	(70.0, 40836.5)	(71.0, 29607.5)	(72.0, 21101.5)	(73.0, 15134.5)	(74.0, 10714.5)	(75.0, 7455.0)	(76.0, 5153.5)	(77.0, 3537.0)	(78.0, 2522.0)	(79.0, 2027.5)	(80.0, 1620.5)	(81.0, 1085.0)	(82.0, 727.5)	(83.0, 559.5)	(84.0, 367.5)	(85.0, 182.0)	(86.0, 111.0)	(87.0, 89.0)	(88.0, 74.5)	(89.0, 69.5)	(90.0, 82.0)	(91.0, 74.5)	(92.0, 69.5)	(93.0, 80.5)	(94.0, 89.0)	(95.0, 84.5)	(96.0, 93.5)	(97.0, 124.5)	(98.0, 210.0)	(99.0, 374.0)	(100.0, 2771.0)
