Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MCIC_FC_2024_111_1	(1.0, 12.77205773108471)	(2.0, 6.905907585335587)	(3.0, 4.489582893028671)	(4.0, 3.3149036429892234)	(5.0, 2.595214896440811)	(6.0, 2.139932027454114)	(7.0, 1.829236583623874)	(8.0, 1.5291095694187924)	(9.0, 1.2807528242144146)	('>10', 16.134917049283533)	('>50', 5.128461462136787)	('>100', 11.984613650220965)	('>500', 6.03259248333959)	('>1k', 14.113249854473034)	('>5k', 5.224981913471095)	('>10k+', 4.524485833484864)
MCIC_FC_2024_111_2	(1.0, 12.91249119075083)	(2.0, 6.916798518119725)	(3.0, 4.845298525211631)	(4.0, 3.605471523357605)	(5.0, 2.794688358078754)	(6.0, 2.1723294571679146)	(7.0, 1.835063876243993)	(8.0, 1.4718105512134603)	(9.0, 1.322875515234711)	('>10', 14.818338337637371)	('>50', 4.673807433380209)	('>100', 12.6336320452235)	('>500', 7.333094096711092)	('>1k', 16.269538953067215)	('>5k', 3.7781988352745524)	('>10k+', 2.6165627833275007)
MCIC_FD_2024_105_1	(1.0, 13.1581218292035)	(2.0, 7.566692241375114)	(3.0, 5.472592135115342)	(4.0, 4.154487862902241)	(5.0, 3.4342024581171082)	(6.0, 2.738167258766843)	(7.0, 2.4707882777547834)	(8.0, 2.1499658263911927)	(9.0, 1.8755527496624629)	('>10', 20.9873968487518)	('>50', 5.024907467020276)	('>100', 8.945193207280932)	('>500', 4.081287250044817)	('>1k', 10.160512824483177)	('>5k', 4.109385113163732)	('>10k+', 3.6707466499665595)
MCIC_FD_2024_105_2	(1.0, 13.412003245354207)	(2.0, 7.6143995119576395)	(3.0, 6.001197953078559)	(4.0, 4.653274082608791)	(5.0, 3.824169697966389)	(6.0, 3.1181987994421365)	(7.0, 2.6329678166277546)	(8.0, 2.235734211478843)	(9.0, 1.8764384364711086)	('>10', 19.443289337156546)	('>50', 4.285835660713621)	('>100', 8.71372550154798)	('>500', 4.915783819468904)	('>1k', 12.077091642633413)	('>5k', 3.1518827096153017)	('>10k+', 2.044007573878877)
MCIC_FD_2024_204_1	(1.0, 11.686226348911717)	(2.0, 5.625926786951859)	(3.0, 3.3446434062998702)	(4.0, 2.2658452591498004)	(5.0, 1.695671814683098)	(6.0, 1.3242148132354252)	(7.0, 1.177999971012439)	(8.0, 0.9631638017197784)	(9.0, 0.8984239653097329)	('>10', 12.12234121400141)	('>50', 4.952566021435578)	('>100', 13.763812073781084)	('>500', 7.582167453395118)	('>1k', 19.51222728878709)	('>5k', 7.098133125039757)	('>10k+', 5.986636656286292)
MCIC_FD_2024_204_2	(1.0, 12.422634293333621)	(2.0, 5.49571078386409)	(3.0, 3.2681667128581693)	(4.0, 2.287419346366801)	(5.0, 1.6768130612313061)	(6.0, 1.3375313510869613)	(7.0, 1.0893409281941306)	(8.0, 0.9315331709624598)	(9.0, 0.8570381281190037)	('>10', 10.714680912365363)	('>50', 4.659628440111692)	('>100', 15.650463076253688)	('>500', 9.85737252264912)	('>1k', 22.106769459248945)	('>5k', 5.020983134119556)	('>10k+', 2.623914679235038)
MCIC_MD_2024_109_1	(1.0, 14.540476939417566)	(2.0, 8.353993180905531)	(3.0, 5.927792111753638)	(4.0, 4.769620481448111)	(5.0, 3.7260833189428113)	(6.0, 3.2171450026572215)	(7.0, 2.6942883246143334)	(8.0, 2.321221442946577)	(9.0, 2.034048799295728)	('>10', 24.280316119625773)	('>50', 6.513741870214275)	('>100', 10.244498151303182)	('>500', 3.351347204217757)	('>1k', 6.356791871752569)	('>5k', 1.196558540917967)	('>10k+', 0.472076639986818)
MCIC_MD_2024_109_2	(1.0, 14.107242261099708)	(2.0, 8.256431472369588)	(3.0, 6.379020365665091)	(4.0, 5.087400093312322)	(5.0, 4.081183344699275)	(6.0, 3.39660551725676)	(7.0, 2.8104882758632774)	(8.0, 2.52737735230285)	(9.0, 2.100496017956736)	('>10', 23.562041426725404)	('>50', 6.102443330437392)	('>100', 10.602947622118721)	('>500', 3.688039347435601)	('>1k', 5.946175742603491)	('>5k', 0.7933980890432037)	('>10k+', 0.5587097411102875)
MCIC_MD_2024_113_1	(1.0, 8.31610079838815)	(2.0, 4.070564082424454)	(3.0, 2.5388300744578722)	(4.0, 1.7884572835243866)	(5.0, 1.4013245157123713)	(6.0, 1.1351528539359466)	(7.0, 0.9491575731332117)	(8.0, 0.8257434020625655)	(9.0, 0.7046911499045236)	('>10', 9.36077551809765)	('>50', 3.633908277645528)	('>100', 10.445996808118077)	('>500', 6.583767161427678)	('>1k', 19.69731116337159)	('>5k', 10.610202811655514)	('>10k+', 17.938016526140462)
MCIC_MD_2024_113_2	(1.0, 8.760658188528632)	(2.0, 4.1319786921378565)	(3.0, 2.6648252426600743)	(4.0, 1.9000705687066868)	(5.0, 1.3922148269837553)	(6.0, 1.1502933709746963)	(7.0, 0.9230835254138888)	(8.0, 0.7650590027765498)	(9.0, 0.6429298505026727)	('>10', 8.199685516633341)	('>50', 2.9247443362034002)	('>100', 10.39115918799539)	('>500', 7.562913544802748)	('>1k', 25.55485315942574)	('>5k', 11.274988331513846)	('>10k+', 11.76054265474072)
