Sample	Reads passing filters
MCIC_FC_2024_111_1	22000825.0
MCIC_FC_2024_111_2	22000825.0
MCIC_FD_2024_105_1	25837309.0
MCIC_FD_2024_105_2	25837309.0
MCIC_FD_2024_204_1	20732203.0
MCIC_FD_2024_204_2	20732203.0
MCIC_MD_2024_109_1	23023017.0
MCIC_MD_2024_109_2	23023017.0
MCIC_MD_2024_113_1	26554114.0
MCIC_MD_2024_113_2	26554114.0
MCIC_MD_2024_116_1	26438179.0
MCIC_MD_2024_116_2	26438179.0
