Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
MCIC_FC_2024_111_1	0.13348200537265756	0.6450991895233816
MCIC_FC_2024_111_2	0.2049879426635647	0.0
MCIC_FD_2024_105_1	0.11884160691040442	0.20524260418089463
MCIC_FD_2024_105_2	0.14695809464374315	0.0
MCIC_FD_2024_204_1	0.20217012577715246	1.0144738190512779
MCIC_FD_2024_204_2	0.19937259556892586	0.1288515215698807
MCIC_MD_2024_109_1	0.0	0.0
MCIC_MD_2024_109_2	0.0	0.0
MCIC_MD_2024_113_1	0.25972721624679007	6.031157230005466
MCIC_MD_2024_113_2	0.47472656862655954	2.617740206455972
MCIC_MD_2024_116_1	0.17977174815938807	2.7534566086754175
MCIC_MD_2024_116_2	0.32101149942363155	0.570263695438425
