	Fungus	Host	unmapped
MCIC_FC_2024_111	84.43	4.38	11.19
MCIC_FD_2024_105	85.84	3.59	10.56
MCIC_FD_2024_204	44.21	20.88	34.91
MCIC_MD_2024_109	90.67	1.79	7.55
MCIC_MD_2024_113	62.42	5.76	31.82
MCIC_MD_2024_116	79.13	6.64	14.23
