,Fungus,Host,unmapped
MCIC_FC_2024_111,37151562,1925472,4924616
MCIC_FD_2024_105,44359762,1856476,5458380
MCIC_FD_2024_204,18330360,8659162,14474884
MCIC_MD_2024_109,41748212,822292,3475530
MCIC_MD_2024_113,33152434,3056724,16899070
MCIC_MD_2024_116,41841948,3512658,7521752
