ID,FileBase,Host,Sex,Date,Location
MCIC_FD_2024_105,Kasson-McKeon_FungalPlug_C1-105_S1,Decim,Female,2024-06-05,Glen Ellyn
MCIC_FD_2024_204,Kasson-McKeon_FungalPlug_C2-204_S2,Decim,Female,2024-06-05,Glen Ellyn
MCIC_FC_2024_111,Kasson-McKeon_FungalPlug_C3-111_S3,Cassini,Female,2024-06-05,Glen Ellyn
MCIC_MD_2024_113,Kasson-McKeon_FungalPlug_C4-113_S4,Decim,Male,2024-06-05,Glen Ellyn
MCIC_MD_2024_116,Kasson-McKeon_FungalPlug_C5-116_S5,Decim,Male,2024-06-05,Glen Ellyn
MCIC_MD_2024_109,Kasson-McKeon_FungalPlug_C6-109_S6,Decim,Male,2024-06-06,Morton Arboretum
